u	v	kind	res_ohm
0	1	x	1.712489669e-03
0	28	y	8.437333742e-03
1	2	x	1.712489669e-03
1	29	y	8.437333742e-03
2	3	x	1.712489669e-03
2	30	y	8.437333742e-03
3	4	x	1.712489669e-03
3	31	y	8.437333742e-03
4	5	x	1.712489669e-03
4	32	y	8.437333742e-03
5	6	x	1.712489669e-03
5	33	y	8.437333742e-03
6	7	x	1.712489669e-03
6	34	y	8.437333742e-03
7	8	x	1.712489669e-03
7	35	y	8.437333742e-03
8	9	x	1.712489669e-03
8	36	y	8.437333742e-03
9	10	x	1.712489669e-03
9	37	y	8.437333742e-03
10	11	x	1.712489669e-03
10	38	y	8.437333742e-03
11	12	x	1.712489669e-03
11	39	y	8.437333742e-03
12	13	x	1.712489669e-03
12	40	y	8.437333742e-03
13	14	x	1.712489669e-03
13	41	y	8.437333742e-03
14	15	x	1.712489669e-03
14	42	y	8.437333742e-03
15	16	x	1.712489669e-03
15	43	y	8.437333742e-03
16	17	x	1.712489669e-03
16	44	y	8.437333742e-03
17	18	x	1.712489669e-03
17	45	y	8.437333742e-03
18	19	x	1.712489669e-03
18	46	y	8.437333742e-03
19	20	x	1.712489669e-03
19	47	y	8.437333742e-03
20	21	x	1.712489669e-03
20	48	y	8.437333742e-03
21	22	x	1.712489669e-03
21	49	y	8.437333742e-03
22	23	x	1.712489669e-03
22	50	y	8.437333742e-03
23	24	x	1.712489669e-03
23	51	y	8.437333742e-03
24	25	x	1.712489669e-03
24	52	y	8.437333742e-03
25	26	x	1.712489669e-03
25	53	y	8.437333742e-03
26	27	x	1.712489669e-03
26	54	y	8.437333742e-03
27	55	y	8.437333742e-03
28	29	x	1.712489669e-03
28	56	y	8.437333742e-03
29	30	x	1.712489669e-03
29	57	y	8.437333742e-03
30	31	x	1.712489669e-03
30	58	y	8.437333742e-03
31	32	x	1.712489669e-03
31	59	y	8.437333742e-03
32	33	x	1.712489669e-03
32	60	y	8.437333742e-03
33	34	x	1.712489669e-03
33	61	y	8.437333742e-03
34	35	x	1.712489669e-03
34	62	y	8.437333742e-03
35	36	x	1.712489669e-03
35	63	y	8.437333742e-03
36	37	x	1.712489669e-03
36	64	y	8.437333742e-03
37	38	x	1.712489669e-03
37	65	y	8.437333742e-03
38	39	x	1.712489669e-03
38	66	y	8.437333742e-03
39	40	x	1.712489669e-03
39	67	y	8.437333742e-03
40	41	x	1.712489669e-03
40	68	y	8.437333742e-03
41	42	x	1.712489669e-03
41	69	y	8.437333742e-03
42	43	x	1.712489669e-03
42	70	y	8.437333742e-03
43	44	x	1.712489669e-03
43	71	y	8.437333742e-03
44	45	x	1.712489669e-03
44	72	y	8.437333742e-03
45	46	x	1.712489669e-03
45	73	y	8.437333742e-03
46	47	x	1.712489669e-03
46	74	y	8.437333742e-03
47	48	x	1.712489669e-03
47	75	y	8.437333742e-03
48	49	x	1.712489669e-03
48	76	y	8.437333742e-03
49	50	x	1.712489669e-03
49	77	y	8.437333742e-03
50	51	x	1.712489669e-03
50	78	y	8.437333742e-03
51	52	x	1.712489669e-03
51	79	y	8.437333742e-03
52	53	x	1.712489669e-03
52	80	y	8.437333742e-03
53	54	x	1.712489669e-03
53	81	y	8.437333742e-03
54	55	x	1.712489669e-03
54	82	y	8.437333742e-03
55	83	y	8.437333742e-03
56	57	x	1.712489669e-03
56	84	y	8.437333742e-03
57	58	x	1.712489669e-03
57	85	y	8.437333742e-03
