x_idx	y_idx	drop_pct	voltage_v
0	27	0.132900796	0.998670992
1	27	0.132601030	0.998673990
2	27	0.131988610	0.998680114
3	27	0.131078478	0.998689215
4	27	0.129872064	0.998701279
5	27	0.128356204	0.998716438
6	27	0.126543066	0.998734569
7	27	0.124427444	0.998755726
8	27	0.121984595	0.998780154
9	27	0.119041327	0.998809587
10	27	0.115137256	0.998848627
11	27	0.110253200	0.998897468
12	27	0.104383637	0.998956164
13	27	0.097336882	0.999026631
14	27	0.106008400	0.998939916
15	27	0.113742639	0.998862574
16	27	0.120548564	0.998794514
17	27	0.126433234	0.998735668
18	27	0.131403143	0.998685969
19	27	0.135465203	0.998645348
20	27	0.138627814	0.998613722
21	27	0.140901901	0.998590981
22	27	0.142302645	0.998576974
23	27	0.143110979	0.998568890
24	27	0.143701168	0.998562988
25	27	0.144123773	0.998558762
26	27	0.144400326	0.998555997
27	27	0.144529085	0.998554709
0	26	0.134377557	0.998656224
1	26	0.134141655	0.998658583
2	26	0.133455257	0.998665447
3	26	0.132538394	0.998674616
4	26	0.131396721	0.998686033
5	26	0.129821144	0.998701789
6	26	0.128033642	0.998719664
7	26	0.126039592	0.998739604
8	26	0.123867300	0.998761327
9	26	0.121145567	0.998788544
10	26	0.117336167	0.998826638
11	26	0.112479204	0.998875208
12	26	0.106610790	0.998933892
13	26	0.099144471	0.999008555
14	26	0.107750524	0.998922495
15	26	0.115440596	0.998845594
16	26	0.122211742	0.998777883
17	26	0.128064308	0.998719357
18	26	0.132999894	0.998670001
19	26	0.137020828	0.998629792
20	26	0.140129619	0.998598704
21	26	0.142329002	0.998576710
22	26	0.143622057	0.998563779
23	26	0.144185857	0.998558141
24	26	0.144526762	0.998554732
25	26	0.144843447	0.998551566
26	26	0.145128645	0.998548714
27	26	0.145163486	0.998548365
0	25	0.137016505	0.998629835
1	25	0.136704927	0.998632951
2	25	0.136057687	0.998639423
3	25	0.135105972	0.998648940
4	25	0.133862826	0.998661372
5	25	0.132330205	0.998676698
6	25	0.130542035	0.998694580
7	25	0.128529845	0.998714702
8	25	0.126329236	0.998736708
9	25	0.123549388	0.998764506
10	25	0.119637050	0.998803630
11	25	0.114629551	0.998853704
12	25	0.108558152	0.998914418
13	25	0.100818260	0.998991817
14	25	0.109407899	0.998905921
15	25	0.117068269	0.998829317
16	25	0.123803255	0.998761967
17	25	0.129615276	0.998703847
18	25	0.134505273	0.998654947
19	25	0.138472609	0.998615274
20	25	0.141514276	0.998584857
21	25	0.143623836	0.998563762
22	25	0.144789373	0.998552106
23	25	0.145162338	0.998548377
24	25	0.145471764	0.998545282
25	25	0.145718252	0.998542817
26	25	0.145893927	0.998541061
27	25	0.145969466	0.998540305
0	24	0.141190513	0.998588095
1	24	0.140922274	0.998590777
2	24	0.140160233	0.998598398
3	24	0.139109307	0.998608907
4	24	0.137755106	0.998622449
5	24	0.136098422	0.998639016
6	24	0.134154302	0.998658457
7	24	0.131948524	0.998680515
8	24	0.129517092	0.998704829
9	24	0.126473623	0.998735264
10	24	0.122274120	0.998777259
11	24	0.116962588	0.998830374
12	24	0.110573391	0.998894266
13	24	0.102503722	0.998974963
14	24	0.111046115	0.998889539
15	24	0.118657440	0.998813426
16	24	0.125344452	0.998746555
17	24	0.131111028	0.998688890
