name	node_id	x_um	y_um	current_a
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance#0	734	257.410000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance#1	734	257.410000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance#0	751	941.160000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance#1	751	941.160000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank/genblk1.sram_instance#0	732	158.750000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank/genblk1.sram_instance#1	732	158.750000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance#0	642	1039.820000	223.615000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance#1	642	1039.820000	223.615000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance#0	85	60.090000	962.605000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance#1	85	60.090000	962.605000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance#0	32	158.750000	1047.025000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance#1	32	158.750000	1047.025000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance#0	586	1039.820000	308.035000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance#1	586	1039.820000	308.035000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank/genblk1.sram_instance#0	754	1039.820000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank/genblk1.sram_instance#1	754	1039.820000	54.915000	7.090909091e-04
gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank/genblk1.sram_instance#0	110	1039.820000	951.685000	7.090909091e-04
