name	llx_um	lly_um	urx_um	ury_um	pin_count	total_current_a
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance	217.390000	22.715000	296.050000	87.115000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance	902.520000	22.715000	981.180000	87.115000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank/genblk1.sram_instance	118.730000	22.715000	197.390000	87.115000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance	1001.180000	191.415000	1079.840000	255.815000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance	20.070000	930.405000	98.730000	994.805000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance	118.730000	1014.825000	197.390000	1079.225000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance	1001.180000	275.835000	1079.840000	340.235000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank/genblk1.sram_instance	1001.180000	22.715000	1079.840000	87.115000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank/genblk1.sram_instance	1001.180000	919.485000	1079.840000	983.885000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank/genblk1.sram_instance	1001.180000	107.135000	1079.840000	171.535000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].mem_bank/genblk1.sram_instance	20.070000	22.715000	98.730000	87.115000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].mem_bank/genblk1.sram_instance	902.520000	1014.825000	981.180000	1079.225000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].mem_bank/genblk1.sram_instance	1001.180000	1014.825000	1079.840000	1079.225000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].mem_bank/genblk1.sram_instance	20.070000	1014.825000	98.730000	1079.225000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].mem_bank/genblk1.sram_instance	20.070000	271.495000	98.730000	335.895000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].mem_bank/genblk1.sram_instance	902.520000	107.135000	981.180000	171.535000	2	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance0	117.970000	107.135000	195.870000	169.335000	2	1.681818182e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance1	20.070000	107.135000	97.970000	169.335000	2	1.681818182e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance2	20.070000	189.315000	97.970000	251.515000	2	1.681818182e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance3	117.970000	189.315000	195.870000	251.515000	2	1.681818182e-03
