ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	ir_drop_V
0	0	10	12	7.440309376e-06	0	7.440309376e-06	1.09136666	0.008633340104
1	0	64	12	7.440309376e-06	0	7.440309376e-06	1.09151271	0.008487289731
2	0	118	12	7.440309376e-06	0	7.440309376e-06	1.091930384	0.008069616233
3	0	172	12	7.440309376e-06	0	7.440309376e-06	1.092527394	0.007472606114
4	0	226	12	7.440309376e-06	0	7.440309376e-06	1.09338203	0.006617969621
5	0	280	12	7.440309376e-06	0	7.440309376e-06	1.094354918	0.005645081703
6	0	334	12	0.0003875618018	0	0.0003875618018	1.095447624	0.004552375609
7	0	388	12	0.0003875618018	0	0.0003875618018	1.096614842	0.003385158379
8	0	442	12	0.0003349766845	0	0.0003349766845	1.097490961	0.002509038889
9	0	496	12	0.0003349766845	0	0.0003349766845	1.097108543	0.002891457107
10	0	550	12	0.0003349766845	0	0.0003349766845	1.096430303	0.003569696771
11	0	604	12	0.0003349766845	0	0.0003349766845	1.095814661	0.004185339189
12	0	658	12	0.0003349766845	0	0.0003349766845	1.095400756	0.004599244333
13	0	712	12	0.0003349766845	0	0.0003349766845	1.095237105	0.00476289487
14	0	766	12	0.0003349766845	0	0.0003349766845	1.095326829	0.004673170774
15	0	820	12	0.0003349766845	0	0.0003349766845	1.095661427	0.004338572516
16	0	874	12	0.0003349766845	0	0.0003349766845	1.096236409	0.003763590704
17	0	928	12	7.440309376e-06	0	7.440309376e-06	1.097065168	0.002934832499
18	0	982	12	7.440309376e-06	0	7.440309376e-06	1.098036087	0.001963913406
19	0	1036	12	7.440309376e-06	0	7.440309376e-06	1.098875438	0.001124561991
20	0	1090	12	7.440309376e-06	0	7.440309376e-06	1.099137719	0.000862281182
0	1	10	65.9	7.440309376e-06	0	7.440309376e-06	1.09114581	0.008854190115
1	1	64	65.9	0.001425622128	0	0.001425622128	1.091096614	0.008903386159
2	1	118	65.9	7.440309376e-06	0	7.440309376e-06	1.091657779	0.008342221267
3	1	172	65.9	0.001425622128	0	0.001425622128	1.09213306	0.007866939736
4	1	226	65.9	7.440309376e-06	0	7.440309376e-06	1.093204403	0.006795596519
5	1	280	65.9	0.001425622128	0	0.001425622128	1.094174855	0.005825144661
6	1	334	65.9	0.0003875618018	0	0.0003875618018	1.0956566	0.004343400294
7	1	388	65.9	0.0003875618018	0	0.0003875618018	1.097392283	0.002607717194
8	1	442	65.9	0.0003275363751	0	0.0003275363751	1.09972855	0.0002714499313
9	1	496	65.9	0.0003349766845	0	0.0003349766845	1.097849255	0.00215074466
10	1	550	65.9	0.0003349766845	0	0.0003349766845	1.096613729	0.003386270554
11	1	604	65.9	0.0003349766845	0	0.0003349766845	1.095781746	0.004218254431
12	1	658	65.9	0.0003349766845	0	0.0003349766845	1.095292403	0.004707596606
13	1	712	65.9	0.0003349766845	0	0.0003349766845	1.095123902	0.004876098304
14	1	766	65.9	0.0003349766845	0	0.0003349766845	1.095226843	0.004773157278
15	1	820	65.9	0.0003349766845	0	0.0003349766845	1.095568423	0.00443157681
16	1	874	65.9	0.0003349766845	0	0.0003349766845	1.096122581	0.003877418818
17	1	928	65.9	0.001425622128	0	0.001425622128	1.096850365	0.003149634953
18	1	982	65.9	7.440309376e-06	0	7.440309376e-06	1.09824689	0.001753109818
19	1	1036	65.9	0.001418181818	0	0.001418181818	1.09977893	0.0002210695047
20	1	1090	65.9	7.440309376e-06	0	7.440309376e-06	1.099551761	0.0004482386725
0	2	10	119.8	7.440309376e-06	0	7.440309376e-06	1.091007688	0.008992311828
1	2	64	119.8	0.001689258491	0	0.001689258491	1.090926362	0.009073638053
2	2	118	119.8	7.440309376e-06	0	7.440309376e-06	1.091524945	0.008475054838
3	2	172	119.8	0.001689258491	0	0.001689258491	1.092006804	0.007993195682
4	2	226	119.8	7.440309376e-06	0	7.440309376e-06	1.093189883	0.006810116813
5	2	280	119.8	7.440309376e-06	0	7.440309376e-06	1.094394673	0.005605326837
6	2	334	119.8	0.0003875618018	0	0.0003875618018	1.095795568	0.004204432128
7	2	388	119.8	0.0003875618018	0	0.0003875618018	1.097560736	0.002439263769
8	2	442	119.8	0.0003275363751	0	0.0003275363751	1.099756577	0.0002434232379
9	2	496	119.8	0.0003349766845	0	0.0003349766845	1.097869761	0.002130238906
10	2	550	119.8	0.0003349766845	0	0.0003349766845	1.096450465	0.003549535081
11	2	604	119.8	0.0003349766845	0	0.0003349766845	1.09549683	0.004503169746
12	2	658	119.8	0.0003349766845	0	0.0003349766845	1.094965949	0.00503405138
13	2	712	119.8	0.0003349766845	0	0.0003349766845	1.094869402	0.005130598291
14	2	766	119.8	0.0003349766845	0	0.0003349766845	1.095036564	0.004963436251
15	2	820	119.8	0.0003349766845	0	0.0003349766845	1.095425649	0.004574351275
16	2	874	119.8	0.0003349766845	0	0.0003349766845	1.096019547	0.003980453244
17	2	928	119.8	0.001425622128	0	0.001425622128	1.096790635	0.003209365363
18	2	982	119.8	7.440309376e-06	0	7.440309376e-06	1.098253224	0.001746775627
19	2	1036	119.8	0.001418181818	0	0.001418181818	1.09979027	0.0002097296263
20	2	1090	119.8	7.440309376e-06	0	7.440309376e-06	1.099618827	0.0003811734891
0	3	10	173.7	7.440309376e-06	0	7.440309376e-06	1.091002252	0.008997747726
1	3	64	173.7	7.440309376e-06	0	7.440309376e-06	1.09111478	0.008885220096
2	3	118	173.7	7.440309376e-06	0	7.440309376e-06	1.091579836	0.008420164377
3	3	172	173.7	7.440309376e-06	0	7.440309376e-06	1.092206084	0.007793915988
4	3	226	173.7	0.0003804697094	0	0.0003804697094	1.093147841	0.006852158581
5	3	280	173.7	0.0003804697094	0	0.0003804697094	1.094315814	0.005684185897
6	3	334	173.7	0.0003804697094	0	0.0003804697094	1.095692975	0.004307025027
7	3	388	173.7	0.0003804697094	0	0.0003804697094	1.097384389	0.002615610952
8	3	442	173.7	0.0003730294	0	0.0003730294	1.099717406	0.0002825944463
9	3	496	173.7	0.0003804697094	0	0.0003804697094	1.097444101	0.002555899087
10	3	550	173.7	0.001126338164	0	0.001126338164	1.095843923	0.004156076658
11	3	604	173.7	0.001126338164	0	0.001126338164	1.094835354	0.005164645994
12	3	658	173.7	0.002176000046	0	0.002176000046	1.094244925	0.005755074843
13	3	712	173.7	0.0002312406885	0	0.0002312406885	1.09448563	0.005514369998
14	3	766	173.7	0.0002312406885	0	0.0002312406885	1.094781984	0.005218016082
15	3	820	173.7	0.0002312406885	0	0.0002312406885	1.095245177	0.004754823351
16	3	874	173.7	0.0002312406885	0	0.0002312406885	1.095921765	0.004078235424
17	3	928	173.7	0.0002312406885	0	0.0002312406885	1.096850587	0.003149412957
18	3	982	173.7	7.440309376e-06	0	7.440309376e-06	1.098150026	0.001849973559
19	3	1036	173.7	0	0	0	1.09978103	0.0002189698076
20	3	1090	173.7	7.440309376e-06	0	7.440309376e-06	1.099425559	0.0005744413078
0	4	10	227.6	7.440309376e-06	0	7.440309376e-06	1.090828089	0.009171910897
1	4	64	227.6	0.001689258491	0	0.001689258491	1.090761307	0.009238693407
2	4	118	227.6	7.440309376e-06	0	7.440309376e-06	1.091390332	0.008609667883
3	4	172	227.6	0.001689258491	0	0.001689258491	1.091921031	0.008078968574
4	4	226	227.6	7.525195847e-05	0	7.525195847e-05	1.093072954	0.006927045887
5	4	280	227.6	7.525195847e-05	0	7.525195847e-05	1.094230584	0.005769415975
6	4	334	227.6	7.525195847e-05	0	7.525195847e-05	1.095420651	0.004579348977
7	4	388	227.6	7.525195847e-05	0	7.525195847e-05	1.096529333	0.00347066715
8	4	442	227.6	7.525195847e-05	0	7.525195847e-05	1.097180312	0.002819687677
9	4	496	227.6	0.001007925484	0	0.001007925484	1.096290716	0.003709284276
10	4	550	227.6	0.001007925484	0	0.001007925484	1.095261544	0.004738456196
11	4	604	227.6	0.001007925484	0	0.001007925484	1.094467756	0.005532244394
12	4	658	227.6	0.001110795328	0	0.001110795328	1.094055396	0.005944604375
13	4	712	227.6	0.0002312406885	0	0.0002312406885	1.094209143	0.00579085681
14	4	766	227.6	0.0002312406885	0	0.0002312406885	1.094461806	0.005538194057
15	4	820	227.6	0.0002312406885	0	0.0002312406885	1.094926718	0.00507328162
16	4	874	227.6	0.0002312406885	0	0.0002312406885	1.095625607	0.004374393038
17	4	928	227.6	0.0002312406885	0	0.0002312406885	1.096528098	0.003471902493
18	4	982	227.6	7.440309376e-06	0	7.440309376e-06	1.097537533	0.00246246736
19	4	1036	227.6	0.001425622128	0	0.001425622128	1.098220357	0.001779642766
20	4	1090	227.6	7.440309376e-06	0	7.440309376e-06	1.098685823	0.001314176952
0	5	10	281.5	7.440309376e-06	0	7.440309376e-06	1.090763998	0.009236001506
1	5	64	281.5	0.001425622128	0	0.001425622128	1.090741783	0.009258216748
2	5	118	281.5	0.0003227154405	0	0.0003227154405	1.091359947	0.008640053188
3	5	172	281.5	0.0003227154405	0	0.0003227154405	1.092085897	0.00791410346
4	5	226	281.5	0.0003227154405	0	0.0003227154405	1.093052264	0.006947735827
5	5	280	281.5	0.0003227154405	0	0.0003227154405	1.09415799	0.005842009532
6	5	334	281.5	0.0003227154405	0	0.0003227154405	1.09533794	0.004662060211
7	5	388	281.5	0.0003227154405	0	0.0003227154405	1.096449005	0.003550994979
8	5	442	281.5	0.0003227154405	0	0.0003227154405	1.09710165	0.002898349576
9	5	496	281.5	0.001007925484	0	0.001007925484	1.096199125	0.003800874548
10	5	550	281.5	0.001007925484	0	0.001007925484	1.095157955	0.004842044771
11	5	604	281.5	0.001007925484	0	0.001007925484	1.094351871	0.005648128674
12	5	658	281.5	0.001110795328	0	0.001110795328	1.093916651	0.006083349178
13	5	712	281.5	7.440309376e-06	0	7.440309376e-06	1.093972669	0.006027330916
14	5	766	281.5	0.001143997691	0	0.001143997691	1.094005423	0.005994577133
15	5	820	281.5	0.001143997691	0	0.001143997691	1.094438274	0.005561726311
