layer	llx_um	lly_um	urx_um	ury_um	voltage_v
metal9	549.955000	1074.600000	549.955000	1074.600000	1.000000
metal9	549.955000	1034.600000	549.955000	1034.600000	1.000000
metal9	549.955000	994.600000	549.955000	994.600000	1.000000
metal9	549.955000	954.600000	549.955000	954.600000	1.000000
metal9	549.955000	914.600000	549.955000	914.600000	1.000000
metal9	549.955000	874.600000	549.955000	874.600000	1.000000
metal9	549.955000	834.600000	549.955000	834.600000	1.000000
metal9	549.955000	794.600000	549.955000	794.600000	1.000000
metal9	549.955000	754.600000	549.955000	754.600000	1.000000
metal9	549.955000	714.600000	549.955000	714.600000	1.000000
metal9	549.955000	674.600000	549.955000	674.600000	1.000000
metal9	549.955000	634.600000	549.955000	634.600000	1.000000
metal9	549.955000	594.600000	549.955000	594.600000	1.000000
metal9	549.955000	554.600000	549.955000	554.600000	1.000000
metal9	549.955000	514.600000	549.955000	514.600000	1.000000
metal9	549.955000	474.600000	549.955000	474.600000	1.000000
metal9	549.955000	434.600000	549.955000	434.600000	1.000000
metal9	549.955000	394.600000	549.955000	394.600000	1.000000
metal9	549.955000	354.600000	549.955000	354.600000	1.000000
metal9	549.955000	314.600000	549.955000	314.600000	1.000000
metal9	549.955000	274.600000	549.955000	274.600000	1.000000
metal9	549.955000	234.600000	549.955000	234.600000	1.000000
metal9	549.955000	194.600000	549.955000	194.600000	1.000000
metal9	549.955000	154.600000	549.955000	154.600000	1.000000
metal9	549.955000	114.600000	549.955000	114.600000	1.000000
metal9	549.955000	74.600000	549.955000	74.600000	1.000000
metal9	549.955000	34.600000	549.955000	34.600000	1.000000
metal9	549.955000	1094.700000	549.955000	1094.700000	1.000000
metal9	549.955000	7.100000	549.955000	7.100000	1.000000
