net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VSS	GROUND	wire	metal6	189.505	190.85	190.435	251.78	189.97	221.315
VSS	GROUND	wire	metal6	179.505	190.85	180.435	251.78	179.97	221.315
VSS	GROUND	wire	metal6	169.505	190.85	170.435	251.78	169.97	221.315
VSS	GROUND	wire	metal6	159.505	190.85	160.435	251.78	159.97	221.315
VSS	GROUND	wire	metal6	149.505	190.85	150.435	251.78	149.97	221.315
VSS	GROUND	wire	metal6	139.505	190.85	140.435	251.78	139.97	221.315
VSS	GROUND	wire	metal6	129.505	190.85	130.435	251.78	129.97	221.315
VSS	GROUND	wire	metal6	119.505	190.85	120.435	251.78	119.97	221.315
VSS	GROUND	wire	metal5	119.505	250.85	190.435	251.78	154.97	251.315
VSS	GROUND	wire	metal5	119.505	240.85	193.21	241.78	156.3575	241.315
VSS	GROUND	wire	metal5	119.505	230.85	193.21	231.78	156.3575	231.315
VSS	GROUND	wire	metal5	119.505	220.85	193.21	221.78	156.3575	221.315
VSS	GROUND	wire	metal5	119.505	210.85	193.21	211.78	156.3575	211.315
VSS	GROUND	wire	metal5	119.505	200.85	193.21	201.78	156.3575	201.315
VSS	GROUND	wire	metal5	119.505	190.85	190.435	191.78	154.97	191.315
VSS	GROUND	via	?	189.505	223.9	190.435	225.3	189.97	224.6
VSS	GROUND	via	?	189.505	193.9	190.435	195.3	189.97	194.6
VSS	GROUND	via	?	179.505	223.9	180.435	225.3	179.97	224.6
VSS	GROUND	via	?	179.505	193.9	180.435	195.3	179.97	194.6
VSS	GROUND	via	?	169.505	223.9	170.435	225.3	169.97	224.6
VSS	GROUND	via	?	169.505	193.9	170.435	195.3	169.97	194.6
VSS	GROUND	via	?	159.505	223.9	160.435	225.3	159.97	224.6
VSS	GROUND	via	?	159.505	193.9	160.435	195.3	159.97	194.6
VSS	GROUND	via	?	149.505	223.9	150.435	225.3	149.97	224.6
VSS	GROUND	via	?	149.505	193.9	150.435	195.3	149.97	194.6
VSS	GROUND	via	?	139.505	223.9	140.435	225.3	139.97	224.6
VSS	GROUND	via	?	139.505	193.9	140.435	195.3	139.97	194.6
VSS	GROUND	via	?	129.505	223.9	130.435	225.3	129.97	224.6
VSS	GROUND	via	?	129.505	193.9	130.435	195.3	129.97	194.6
VSS	GROUND	via	?	119.505	223.9	120.435	225.3	119.97	224.6
VSS	GROUND	via	?	119.505	193.9	120.435	195.3	119.97	194.6
VSS	GROUND	via	?	189.505	250.85	190.435	251.78	189.97	251.315
VSS	GROUND	via	?	189.505	240.85	190.435	241.78	189.97	241.315
VSS	GROUND	via	?	189.505	230.85	190.435	231.78	189.97	231.315
VSS	GROUND	via	?	189.505	220.85	190.435	221.78	189.97	221.315
VSS	GROUND	via	?	189.505	210.85	190.435	211.78	189.97	211.315
VSS	GROUND	via	?	189.505	200.85	190.435	201.78	189.97	201.315
VSS	GROUND	via	?	189.505	190.85	190.435	191.78	189.97	191.315
VSS	GROUND	via	?	179.505	250.85	180.435	251.78	179.97	251.315
VSS	GROUND	via	?	179.505	240.85	180.435	241.78	179.97	241.315
VSS	GROUND	via	?	179.505	230.85	180.435	231.78	179.97	231.315
VSS	GROUND	via	?	179.505	220.85	180.435	221.78	179.97	221.315
VSS	GROUND	via	?	179.505	210.85	180.435	211.78	179.97	211.315
VSS	GROUND	via	?	179.505	200.85	180.435	201.78	179.97	201.315
VSS	GROUND	via	?	179.505	190.85	180.435	191.78	179.97	191.315
VSS	GROUND	via	?	169.505	250.85	170.435	251.78	169.97	251.315
VSS	GROUND	via	?	169.505	240.85	170.435	241.78	169.97	241.315
VSS	GROUND	via	?	169.505	230.85	170.435	231.78	169.97	231.315
VSS	GROUND	via	?	169.505	220.85	170.435	221.78	169.97	221.315
VSS	GROUND	via	?	169.505	210.85	170.435	211.78	169.97	211.315
VSS	GROUND	via	?	169.505	200.85	170.435	201.78	169.97	201.315
VSS	GROUND	via	?	169.505	190.85	170.435	191.78	169.97	191.315
VSS	GROUND	via	?	159.505	250.85	160.435	251.78	159.97	251.315
VSS	GROUND	via	?	159.505	240.85	160.435	241.78	159.97	241.315
VSS	GROUND	via	?	159.505	230.85	160.435	231.78	159.97	231.315
VSS	GROUND	via	?	159.505	220.85	160.435	221.78	159.97	221.315
VSS	GROUND	via	?	159.505	210.85	160.435	211.78	159.97	211.315
VSS	GROUND	via	?	159.505	200.85	160.435	201.78	159.97	201.315
VSS	GROUND	via	?	159.505	190.85	160.435	191.78	159.97	191.315
VSS	GROUND	via	?	149.505	250.85	150.435	251.78	149.97	251.315
VSS	GROUND	via	?	149.505	240.85	150.435	241.78	149.97	241.315
VSS	GROUND	via	?	149.505	230.85	150.435	231.78	149.97	231.315
VSS	GROUND	via	?	149.505	220.85	150.435	221.78	149.97	221.315
VSS	GROUND	via	?	149.505	210.85	150.435	211.78	149.97	211.315
VSS	GROUND	via	?	149.505	200.85	150.435	201.78	149.97	201.315
VSS	GROUND	via	?	149.505	190.85	150.435	191.78	149.97	191.315
VSS	GROUND	via	?	139.505	250.85	140.435	251.78	139.97	251.315
VSS	GROUND	via	?	139.505	240.85	140.435	241.78	139.97	241.315
VSS	GROUND	via	?	139.505	230.85	140.435	231.78	139.97	231.315
VSS	GROUND	via	?	139.505	220.85	140.435	221.78	139.97	221.315
VSS	GROUND	via	?	139.505	210.85	140.435	211.78	139.97	211.315
VSS	GROUND	via	?	139.505	200.85	140.435	201.78	139.97	201.315
VSS	GROUND	via	?	139.505	190.85	140.435	191.78	139.97	191.315
VSS	GROUND	via	?	129.505	250.85	130.435	251.78	129.97	251.315
VSS	GROUND	via	?	129.505	240.85	130.435	241.78	129.97	241.315
VSS	GROUND	via	?	129.505	230.85	130.435	231.78	129.97	231.315
VSS	GROUND	via	?	129.505	220.85	130.435	221.78	129.97	221.315
VSS	GROUND	via	?	129.505	210.85	130.435	211.78	129.97	211.315
VSS	GROUND	via	?	129.505	200.85	130.435	201.78	129.97	201.315
VSS	GROUND	via	?	129.505	190.85	130.435	191.78	129.97	191.315
VSS	GROUND	via	?	119.505	250.85	120.435	251.78	119.97	251.315
VSS	GROUND	via	?	119.505	240.85	120.435	241.78	119.97	241.315
VSS	GROUND	via	?	119.505	230.85	120.435	231.78	119.97	231.315
VSS	GROUND	via	?	119.505	220.85	120.435	221.78	119.97	221.315
VSS	GROUND	via	?	119.505	210.85	120.435	211.78	119.97	211.315
VSS	GROUND	via	?	119.505	200.85	120.435	201.78	119.97	201.315
VSS	GROUND	via	?	119.505	190.85	120.435	191.78	119.97	191.315
VSS	GROUND	via	?	192.93	240.85	193.21	241.78	193.07	241.315
VSS	GROUND	via	?	192.93	230.85	193.21	231.78	193.07	231.315
VSS	GROUND	via	?	192.93	220.85	193.21	221.78	193.07	221.315
VSS	GROUND	via	?	192.93	210.85	193.21	211.78	193.07	211.315
VSS	GROUND	via	?	192.93	200.85	193.21	201.78	193.07	201.315
VSS	GROUND	via	?	188.45	240.85	188.73	241.78	188.59	241.315
VSS	GROUND	via	?	188.45	230.85	188.73	231.78	188.59	231.315
VSS	GROUND	via	?	188.45	220.85	188.73	221.78	188.59	221.315
VSS	GROUND	via	?	188.45	210.85	188.73	211.78	188.59	211.315
VSS	GROUND	via	?	188.45	200.85	188.73	201.78	188.59	201.315
VSS	GROUND	via	?	183.97	240.85	184.25	241.78	184.11	241.315
VSS	GROUND	via	?	183.97	230.85	184.25	231.78	184.11	231.315
VSS	GROUND	via	?	183.97	220.85	184.25	221.78	184.11	221.315
VSS	GROUND	via	?	183.97	210.85	184.25	211.78	184.11	211.315
VSS	GROUND	via	?	183.97	200.85	184.25	201.78	184.11	201.315
VSS	GROUND	via	?	179.49	240.85	179.77	241.78	179.63	241.315
VSS	GROUND	via	?	179.49	230.85	179.77	231.78	179.63	231.315
VSS	GROUND	via	?	179.49	220.85	179.77	221.78	179.63	221.315
VSS	GROUND	via	?	179.49	210.85	179.77	211.78	179.63	211.315
VSS	GROUND	via	?	179.49	200.85	179.77	201.78	179.63	201.315
VSS	GROUND	via	?	175.01	240.85	175.29	241.78	175.15	241.315
VSS	GROUND	via	?	175.01	230.85	175.29	231.78	175.15	231.315
VSS	GROUND	via	?	175.01	220.85	175.29	221.78	175.15	221.315
VSS	GROUND	via	?	175.01	210.85	175.29	211.78	175.15	211.315
VSS	GROUND	via	?	175.01	200.85	175.29	201.78	175.15	201.315
VSS	GROUND	via	?	170.53	240.85	170.81	241.78	170.67	241.315
VSS	GROUND	via	?	170.53	230.85	170.81	231.78	170.67	231.315
VSS	GROUND	via	?	170.53	220.85	170.81	221.78	170.67	221.315
VSS	GROUND	via	?	170.53	210.85	170.81	211.78	170.67	211.315
VSS	GROUND	via	?	170.53	200.85	170.81	201.78	170.67	201.315
VSS	GROUND	via	?	166.05	240.85	166.33	241.78	166.19	241.315
VSS	GROUND	via	?	166.05	230.85	166.33	231.78	166.19	231.315
VSS	GROUND	via	?	166.05	220.85	166.33	221.78	166.19	221.315
VSS	GROUND	via	?	166.05	210.85	166.33	211.78	166.19	211.315
VSS	GROUND	via	?	166.05	200.85	166.33	201.78	166.19	201.315
VSS	GROUND	via	?	161.57	240.85	161.85	241.78	161.71	241.315
VSS	GROUND	via	?	161.57	230.85	161.85	231.78	161.71	231.315
VSS	GROUND	via	?	161.57	220.85	161.85	221.78	161.71	221.315
VSS	GROUND	via	?	161.57	210.85	161.85	211.78	161.71	211.315
VSS	GROUND	via	?	161.57	200.85	161.85	201.78	161.71	201.315
VSS	GROUND	via	?	157.09	240.85	157.37	241.78	157.23	241.315
VSS	GROUND	via	?	157.09	230.85	157.37	231.78	157.23	231.315
VSS	GROUND	via	?	157.09	220.85	157.37	221.78	157.23	221.315
VSS	GROUND	via	?	157.09	210.85	157.37	211.78	157.23	211.315
VSS	GROUND	via	?	157.09	200.85	157.37	201.78	157.23	201.315
VSS	GROUND	via	?	152.61	240.85	152.89	241.78	152.75	241.315
VSS	GROUND	via	?	152.61	230.85	152.89	231.78	152.75	231.315
VSS	GROUND	via	?	152.61	220.85	152.89	221.78	152.75	221.315
VSS	GROUND	via	?	152.61	210.85	152.89	211.78	152.75	211.315
VSS	GROUND	via	?	152.61	200.85	152.89	201.78	152.75	201.315
VSS	GROUND	via	?	148.13	240.85	148.41	241.78	148.27	241.315
VSS	GROUND	via	?	148.13	230.85	148.41	231.78	148.27	231.315
VSS	GROUND	via	?	148.13	220.85	148.41	221.78	148.27	221.315
VSS	GROUND	via	?	148.13	210.85	148.41	211.78	148.27	211.315
VSS	GROUND	via	?	148.13	200.85	148.41	201.78	148.27	201.315
VSS	GROUND	via	?	143.65	240.85	143.93	241.78	143.79	241.315
VSS	GROUND	via	?	143.65	230.85	143.93	231.78	143.79	231.315
VSS	GROUND	via	?	143.65	220.85	143.93	221.78	143.79	221.315
VSS	GROUND	via	?	143.65	210.85	143.93	211.78	143.79	211.315
VSS	GROUND	via	?	143.65	200.85	143.93	201.78	143.79	201.315
VSS	GROUND	via	?	139.17	240.85	139.45	241.78	139.31	241.315
VSS	GROUND	via	?	139.17	230.85	139.45	231.78	139.31	231.315
VSS	GROUND	via	?	139.17	220.85	139.45	221.78	139.31	221.315
VSS	GROUND	via	?	139.17	210.85	139.45	211.78	139.31	211.315
VSS	GROUND	via	?	139.17	200.85	139.45	201.78	139.31	201.315
VSS	GROUND	via	?	134.69	240.85	134.97	241.78	134.83	241.315
VSS	GROUND	via	?	134.69	230.85	134.97	231.78	134.83	231.315
VSS	GROUND	via	?	134.69	220.85	134.97	221.78	134.83	221.315
VSS	GROUND	via	?	134.69	210.85	134.97	211.78	134.83	211.315
VSS	GROUND	via	?	134.69	200.85	134.97	201.78	134.83	201.315
VSS	GROUND	via	?	130.21	240.85	130.49	241.78	130.35	241.315
VSS	GROUND	via	?	130.21	230.85	130.49	231.78	130.35	231.315
VSS	GROUND	via	?	130.21	220.85	130.49	221.78	130.35	221.315
VSS	GROUND	via	?	130.21	210.85	130.49	211.78	130.35	211.315
VSS	GROUND	via	?	130.21	200.85	130.49	201.78	130.35	201.315
VSS	GROUND	via	?	125.73	240.85	126.01	241.78	125.87	241.315
VSS	GROUND	via	?	125.73	230.85	126.01	231.78	125.87	231.315
VSS	GROUND	via	?	125.73	220.85	126.01	221.78	125.87	221.315
VSS	GROUND	via	?	125.73	210.85	126.01	211.78	125.87	211.315
VSS	GROUND	via	?	125.73	200.85	126.01	201.78	125.87	201.315
VSS	GROUND	via	?	121.25	240.85	121.53	241.78	121.39	241.315
VSS	GROUND	via	?	121.25	230.85	121.53	231.78	121.39	231.315
