u	v	kind	res_ohm
0	1	x	9.205319961e-03
0	21	y	3.113737108e-02
1	2	x	9.205319961e-03
1	22	y	3.113737108e-02
2	3	x	9.205319961e-03
2	23	y	3.113737108e-02
3	4	x	9.205319961e-03
3	24	y	3.113737108e-02
4	5	x	9.205319961e-03
4	25	y	3.113737108e-02
5	6	x	9.205319961e-03
5	26	y	3.113737108e-02
6	7	x	9.205319961e-03
6	27	y	3.113737108e-02
7	8	x	9.205319961e-03
7	28	y	3.113737108e-02
8	9	x	9.205319961e-03
8	29	y	3.113737108e-02
9	10	x	9.205319961e-03
9	30	y	3.113737108e-02
10	11	x	9.205319961e-03
10	31	y	3.113737108e-02
11	12	x	9.205319961e-03
11	32	y	3.113737108e-02
12	13	x	9.205319961e-03
12	33	y	3.113737108e-02
13	14	x	9.205319961e-03
13	34	y	3.113737108e-02
14	15	x	9.205319961e-03
14	35	y	3.113737108e-02
15	16	x	9.205319961e-03
15	36	y	3.113737108e-02
16	17	x	9.205319961e-03
16	37	y	3.113737108e-02
17	18	x	9.205319961e-03
17	38	y	3.113737108e-02
18	19	x	9.205319961e-03
18	39	y	3.113737108e-02
19	20	x	9.205319961e-03
19	40	y	3.113737108e-02
20	41	y	3.113737108e-02
21	22	x	9.205319961e-03
21	42	y	3.113737108e-02
22	23	x	9.205319961e-03
22	43	y	3.113737108e-02
23	24	x	9.205319961e-03
23	44	y	3.113737108e-02
24	25	x	9.205319961e-03
24	45	y	3.113737108e-02
25	26	x	9.205319961e-03
25	46	y	3.113737108e-02
26	27	x	9.205319961e-03
26	47	y	3.113737108e-02
27	28	x	9.205319961e-03
27	48	y	3.113737108e-02
28	29	x	9.205319961e-03
28	49	y	3.113737108e-02
29	30	x	9.205319961e-03
29	50	y	3.113737108e-02
30	31	x	9.205319961e-03
30	51	y	3.113737108e-02
31	32	x	9.205319961e-03
31	52	y	3.113737108e-02
32	33	x	9.205319961e-03
32	53	y	3.113737108e-02
33	34	x	9.205319961e-03
33	54	y	3.113737108e-02
34	35	x	9.205319961e-03
34	55	y	3.113737108e-02
35	36	x	9.205319961e-03
35	56	y	3.113737108e-02
36	37	x	9.205319961e-03
36	57	y	3.113737108e-02
37	38	x	9.205319961e-03
37	58	y	3.113737108e-02
38	39	x	9.205319961e-03
38	59	y	3.113737108e-02
39	40	x	9.205319961e-03
39	60	y	3.113737108e-02
40	41	x	9.205319961e-03
40	61	y	3.113737108e-02
41	62	y	3.113737108e-02
42	43	x	9.205319961e-03
42	63	y	3.113737108e-02
43	44	x	9.205319961e-03
43	64	y	3.113737108e-02
44	45	x	9.205319961e-03
44	65	y	3.113737108e-02
45	46	x	9.205319961e-03
45	66	y	3.113737108e-02
46	47	x	9.205319961e-03
46	67	y	3.113737108e-02
47	48	x	9.205319961e-03
47	68	y	3.113737108e-02
48	49	x	9.205319961e-03
48	69	y	3.113737108e-02
49	50	x	9.205319961e-03
49	70	y	3.113737108e-02
50	51	x	9.205319961e-03
50	71	y	3.113737108e-02
51	52	x	9.205319961e-03
51	72	y	3.113737108e-02
52	53	x	9.205319961e-03
52	73	y	3.113737108e-02
53	54	x	9.205319961e-03
53	74	y	3.113737108e-02
54	55	x	9.205319961e-03
54	75	y	3.113737108e-02
55	56	x	9.205319961e-03
55	76	y	3.113737108e-02
56	57	x	9.205319961e-03
56	77	y	3.113737108e-02
57	58	x	9.205319961e-03
57	78	y	3.113737108e-02
58	59	x	9.205319961e-03
58	79	y	3.113737108e-02
59	60	x	9.205319961e-03
59	80	y	3.113737108e-02
60	61	x	9.205319961e-03
60	81	y	3.113737108e-02
61	62	x	9.205319961e-03
61	82	y	3.113737108e-02
62	83	y	3.113737108e-02
63	64	x	9.205319961e-03
63	84	y	3.113737108e-02
64	65	x	9.205319961e-03
64	85	y	3.113737108e-02
65	66	x	9.205319961e-03
65	86	y	3.113737108e-02
66	67	x	9.205319961e-03
66	87	y	3.113737108e-02
67	68	x	9.205319961e-03
67	88	y	3.113737108e-02
68	69	x	9.205319961e-03
68	89	y	3.113737108e-02
69	70	x	9.205319961e-03
69	90	y	3.113737108e-02
70	71	x	9.205319961e-03
70	91	y	3.113737108e-02
71	72	x	9.205319961e-03
71	92	y	3.113737108e-02
72	73	x	9.205319961e-03
72	93	y	3.113737108e-02
73	74	x	9.205319961e-03
73	94	y	3.113737108e-02
74	75	x	9.205319961e-03
74	95	y	3.113737108e-02
75	76	x	9.205319961e-03
75	96	y	3.113737108e-02
76	77	x	9.205319961e-03
76	97	y	3.113737108e-02
77	78	x	9.205319961e-03
77	98	y	3.113737108e-02
78	79	x	9.205319961e-03
78	99	y	3.113737108e-02
79	80	x	9.205319961e-03
79	100	y	3.113737108e-02
80	81	x	9.205319961e-03
80	101	y	3.113737108e-02
81	82	x	9.205319961e-03
81	102	y	3.113737108e-02
82	83	x	9.205319961e-03
82	103	y	3.113737108e-02
83	104	y	3.113737108e-02
84	85	x	9.205319961e-03
84	105	y	3.113737108e-02
85	86	x	9.205319961e-03
85	106	y	3.113737108e-02
86	87	x	9.205319961e-03
86	107	y	3.113737108e-02
87	88	x	9.205319961e-03
87	108	y	3.113737108e-02
88	89	x	9.205319961e-03
88	109	y	3.113737108e-02
89	90	x	9.205319961e-03
89	110	y	3.113737108e-02
90	91	x	9.205319961e-03
90	111	y	3.113737108e-02
91	92	x	9.205319961e-03
91	112	y	3.113737108e-02
92	93	x	9.205319961e-03
92	113	y	3.113737108e-02
93	94	x	9.205319961e-03
93	114	y	3.113737108e-02
94	95	x	9.205319961e-03
94	115	y	3.113737108e-02
95	96	x	9.205319961e-03
95	116	y	3.113737108e-02
96	97	x	9.205319961e-03
96	117	y	3.113737108e-02
97	98	x	9.205319961e-03
97	118	y	3.113737108e-02
98	99	x	9.205319961e-03
98	119	y	3.113737108e-02
99	100	x	9.205319961e-03
99	120	y	3.113737108e-02
100	101	x	9.205319961e-03
100	121	y	3.113737108e-02
101	102	x	9.205319961e-03
101	122	y	3.113737108e-02
102	103	x	9.205319961e-03
102	123	y	3.113737108e-02
103	104	x	9.205319961e-03
103	124	y	3.113737108e-02
104	125	y	3.113737108e-02
105	106	x	9.205319961e-03
105	126	y	3.113737108e-02
106	107	x	9.205319961e-03
106	127	y	3.113737108e-02
107	108	x	9.205319961e-03
107	128	y	3.113737108e-02
108	109	x	9.205319961e-03
108	129	y	3.113737108e-02
109	110	x	9.205319961e-03
109	130	y	3.113737108e-02
110	111	x	9.205319961e-03
110	131	y	3.113737108e-02
111	112	x	9.205319961e-03
111	132	y	3.113737108e-02
112	113	x	9.205319961e-03
112	133	y	3.113737108e-02
113	114	x	9.205319961e-03
113	134	y	3.113737108e-02
114	115	x	9.205319961e-03
114	135	y	3.113737108e-02
115	116	x	9.205319961e-03
115	136	y	3.113737108e-02
116	117	x	9.205319961e-03
116	137	y	3.113737108e-02
117	118	x	9.205319961e-03
117	138	y	3.113737108e-02
118	119	x	9.205319961e-03
118	139	y	3.113737108e-02
119	120	x	9.205319961e-03
119	140	y	3.113737108e-02
120	121	x	9.205319961e-03
120	141	y	3.113737108e-02
121	122	x	9.205319961e-03
121	142	y	3.113737108e-02
