x_idx	y_idx	drop_pct	voltage_v
0	20	0.056658119	0.999433419
1	20	0.052526707	0.999474733
2	20	0.042945184	0.999570548
3	20	0.063140088	0.999368599
4	20	0.076801163	0.999231988
5	20	0.085696506	0.999143035
6	20	0.090793735	0.999092063
7	20	0.090066512	0.999099335
8	20	0.082436225	0.999175638
9	20	0.068880441	0.999311196
10	20	0.048353745	0.999516463
11	20	0.070704678	0.999292953
12	20	0.089080074	0.999109199
13	20	0.102181310	0.998978187
14	20	0.109122114	0.998908779
15	20	0.109073733	0.998909263
16	20	0.100980864	0.998990191
17	20	0.083760020	0.999162400
18	20	0.058573065	0.999414269
19	20	0.073918772	0.999260812
20	20	0.080595199	0.999194048
0	19	0.070632905	0.999293671
1	19	0.070962225	0.999290378
2	19	0.075944097	0.999240559
3	19	0.085241854	0.999147581
4	19	0.092922727	0.999070773
5	19	0.098543286	0.999014567
6	19	0.101824754	0.998981752
7	19	0.098589408	0.999014106
8	19	0.087654735	0.999123453
9	19	0.069129113	0.999308709
10	19	0.038306366	0.999616936
11	19	0.068577334	0.999314227
12	19	0.091347710	0.999086523
13	19	0.107446802	0.998925532
14	19	0.117191379	0.998828086
15	19	0.120711468	0.998792885
16	19	0.118198785	0.998818012
17	19	0.110705372	0.998892946
18	19	0.103851641	0.998961484
19	19	0.103243404	0.998967566
20	19	0.103178502	0.998968215
0	18	0.083495504	0.999165045
1	18	0.069244866	0.999307551
2	18	0.094345246	0.999056548
3	18	0.108399028	0.998916010
4	18	0.116014067	0.998839859
5	18	0.119302974	0.998806970
6	18	0.119380364	0.998806196
7	18	0.112502524	0.998874975
8	18	0.097894122	0.999021059
9	18	0.075755103	0.999242449
10	18	0.041225511	0.999587745
11	18	0.072887880	0.999271121
12	18	0.097248417	0.999027516
13	18	0.115273443	0.998847266
14	18	0.127383130	0.998726169
15	18	0.133820993	0.998661790
16	18	0.134827995	0.998651720
17	18	0.131068585	0.998689314
18	18	0.128005352	0.998719946
19	18	0.126315141	0.998736849
20	18	0.125542821	0.998744572
0	17	0.144561054	0.998554389
1	17	0.145615078	0.998543849
2	17	0.150112142	0.998498879
3	17	0.153336358	0.998466636
4	17	0.153740376	0.998462596
5	17	0.150925129	0.998490749
6	17	0.144944243	0.998550558
7	17	0.131911300	0.998680887
8	17	0.112950200	0.998870498
9	17	0.089073773	0.999109262
10	17	0.058046260	0.999419537
11	17	0.082966537	0.999170335
12	17	0.105646473	0.998943535
13	17	0.124177413	0.998758226
14	17	0.137827475	0.998621725
15	17	0.146367481	0.998536325
16	17	0.149774155	0.998502258
17	17	0.148237721	0.998517623
18	17	0.146997064	0.998530029
19	17	0.146282608	0.998537174
20	17	0.145294078	0.998547059
0	16	0.200139587	0.997998604
1	16	0.202478702	0.997975213
2	16	0.202513332	0.997974867
3	16	0.200143031	0.997998570
4	16	0.194684454	0.998053155
5	16	0.185584404	0.998144156
6	16	0.172327879	0.998276721
7	16	0.150717800	0.998492822
8	16	0.123978118	0.998760219
