name	node_id	x_um	y_um	current_a
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance#0	404	256.720000	54.915000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance#0	416	941.850000	54.915000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank/genblk1.sram_instance#0	402	158.060000	54.915000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank/genblk1.sram_instance#0	355	1040.510000	223.615000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank/genblk1.sram_instance#0	43	59.400000	962.605000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance#0	24	158.060000	1047.025000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].mem_bank/genblk1.sram_instance#0	334	1040.510000	308.035000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank/genblk1.sram_instance#0	418	1040.510000	54.915000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank/genblk1.sram_instance#0	82	1040.510000	951.685000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank/genblk1.sram_instance#0	397	1040.510000	139.335000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].mem_bank/genblk1.sram_instance#0	400	59.400000	54.915000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].mem_bank/genblk1.sram_instance#0	38	941.850000	1047.025000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].mem_bank/genblk1.sram_instance#0	40	1040.510000	1047.025000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].mem_bank/genblk1.sram_instance#0	22	59.400000	1047.025000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].mem_bank/genblk1.sram_instance#0	316	59.400000	303.695000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].mem_bank/genblk1.sram_instance#0	395	941.850000	139.335000	1.418181818e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance0#0	381	156.920000	138.235000	1.681818182e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance1#0	379	59.020000	138.235000	1.681818182e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance2#0	337	59.020000	220.415000	1.681818182e-03
gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache/i_lookup/i_data/genblk1.fr_sp_instance3#0	339	156.920000	220.415000	1.681818182e-03
