cluster_id	name	llx_um	lly_um	urx_um	ury_um	observed_a	worst_a	mesh_sum_a	instance_count
70	gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].i_tcdm_adapter	512.860500	157.385500	607.910000	212.930000	2.237795709e-03	2.237795709e-03	7.768382525e-03	1399
64	gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].i_tcdm_adapter	709.175000	168.800000	981.110000	234.294000	2.238003791e-03	2.238003791e-03	2.327729238e-02	1399
68	gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].i_tcdm_adapter	195.800000	157.385500	512.860500	212.930000	2.238176400e-03	2.238176400e-03	2.140417498e-02	1399
66	gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].i_tcdm_adapter	654.603500	212.930000	709.175000	309.674000	2.206710036e-03	2.206710036e-03	7.630891486e-03	1399
71	gen_tiles\[0\].i_tile/i_tile/axi_mst_slice	843.220500	599.797000	1031.358000	770.295000	3.237744455e-03	3.237744455e-03	2.509689702e-02	2270
62	gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].i_tcdm_adapter	882.449000	770.295000	1031.358000	896.781000	2.205557855e-03	2.205557855e-03	2.094185741e-02	1399
69	gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank	295.980000	0.000500	295.980500	0.001000	1.981818182e-06	1.981818182e-06	0.000000000e+00	1
63	gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank	882.449000	84.400000	882.449500	84.400500	1.918181818e-06	1.918181818e-06	9.014012303e-13	1
67	gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].mem_bank	195.800000	84.400500	195.800500	84.401000	1.918181818e-06	1.918181818e-06	9.014012303e-13	1
65	gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].mem_bank	981.109500	253.200000	981.110000	253.200500	1.900000000e-06	1.900000000e-06	8.928571428e-13	1
19	gen_tiles\[0\].i_tile/i_tile/i_remote_req_interco||(gen_tiles\[0\].i_tile/i_tile)_glue_logic	500.891000	571.630000	554.150000	687.065500	2.726583364e-04	2.726583364e-04	1.094814765e-03	1915
72	(root)_glue_logic	1079.769500	599.797000	1079.770000	599.797500	9.327272727e-06	9.327272727e-06	4.284249586e-14	112
