layer	llx_um	lly_um	urx_um	ury_um	voltage_v
metal7	123.190000	1086.470000	123.190000	1086.470000	1.000000
metal7	970.835000	1086.470000	970.835000	1086.470000	1.000000
metal7	81.190000	1000.870000	81.190000	1000.870000	1.000000
metal7	165.190000	18.470000	165.190000	18.470000	1.000000
metal7	984.835000	18.470000	984.835000	18.470000	1.000000
metal7	549.955000	1079.600000	549.955000	1079.600000	1.000000
metal7	549.955000	1049.600000	549.955000	1049.600000	1.000000
metal7	549.955000	1019.600000	549.955000	1019.600000	1.000000
metal7	549.955000	989.600000	549.955000	989.600000	1.000000
metal7	549.955000	959.600000	549.955000	959.600000	1.000000
metal7	549.955000	929.600000	549.955000	929.600000	1.000000
metal7	549.955000	899.600000	549.955000	899.600000	1.000000
metal7	549.955000	869.600000	549.955000	869.600000	1.000000
metal7	549.955000	839.600000	549.955000	839.600000	1.000000
metal7	549.955000	809.600000	549.955000	809.600000	1.000000
metal7	549.955000	779.600000	549.955000	779.600000	1.000000
metal7	549.955000	749.600000	549.955000	749.600000	1.000000
metal7	549.955000	719.600000	549.955000	719.600000	1.000000
metal7	549.955000	689.600000	549.955000	689.600000	1.000000
metal7	549.955000	659.600000	549.955000	659.600000	1.000000
metal7	549.955000	629.600000	549.955000	629.600000	1.000000
metal7	549.955000	599.600000	549.955000	599.600000	1.000000
metal7	549.955000	569.600000	549.955000	569.600000	1.000000
metal7	549.955000	539.600000	549.955000	539.600000	1.000000
metal7	549.955000	509.600000	549.955000	509.600000	1.000000
metal7	549.955000	479.600000	549.955000	479.600000	1.000000
metal7	549.955000	449.600000	549.955000	449.600000	1.000000
metal7	549.955000	419.600000	549.955000	419.600000	1.000000
metal7	549.955000	389.600000	549.955000	389.600000	1.000000
metal7	549.955000	359.600000	549.955000	359.600000	1.000000
metal7	549.955000	329.600000	549.955000	329.600000	1.000000
metal7	549.955000	299.600000	549.955000	299.600000	1.000000
metal7	549.955000	269.600000	549.955000	269.600000	1.000000
metal7	549.955000	239.600000	549.955000	239.600000	1.000000
metal7	549.955000	209.600000	549.955000	209.600000	1.000000
metal7	549.955000	179.600000	549.955000	179.600000	1.000000
metal7	549.955000	149.600000	549.955000	149.600000	1.000000
metal7	549.955000	119.600000	549.955000	119.600000	1.000000
metal7	549.955000	89.600000	549.955000	89.600000	1.000000
metal7	549.955000	59.600000	549.955000	59.600000	1.000000
metal7	549.955000	29.600000	549.955000	29.600000	1.000000
