name	layer	llx_um	lly_um	urx_um	ury_um	total_current_a
i_axi_interco||i_east_interco||i_north_interco||i_northeast_interco	metal4	1063.73	629.091	1067.53	630.49	0.000587193
gen_tiles\[0\].i_tile/i_tile/i_local_req_interco	metal4	706.855	457.273	710.655	458.673	0.0111858
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_master_req_register	metal4	535.691	740.58	539.49	741.98	0.000272093
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_slave_req_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_slave_req_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_slave_req_register	metal4	706.851	363.755	710.65	365.154	0.00192351
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_master_resp_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_master_resp_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_master_resp_register	metal4	57.5	367.993	61.3	369.392	0.00106176
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_slave_resp_register	metal4	945.459	550.519	949.259	551.918	0.000495414
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_slave_req_register	metal4	693.84	331.825	697.639	333.226	0.00013347
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[0\].i_tcdm_master_resp_register	metal4	57.434	390.885	61.234	392.285	0.000188998
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].i_tcdm_adapter	metal4	535.216	533.966	539.966	535.366	0.00228177
gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_slave_resp_register	metal4	941.205	408.353	945.005	409.753	0.000547042
gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].mem_bank/genblk1.sram_instance	metal4	1001.18	107.135	1079.84	171.535	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].mem_bank	metal4	59.144	919.699	59.524	921.099	1.97273e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].i_tcdm_adapter	metal4	787.673	308.804	792.423	310.204	0.00227311
gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].mem_bank/genblk1.sram_instance	metal4	902.52	1014.83	981.18	1079.22	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].i_tcdm_adapter	metal4	852.837	213.447	857.587	214.847	0.002238
gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].mem_bank	metal4	59.144	919.699	59.524	921.1	1.91818e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].mem_bank	metal4	990.99	96.3	991.37	97.7	1.9e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].mem_bank/genblk1.sram_instance	metal4	902.52	22.715	981.18	87.115	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].mem_bank/genblk1.sram_instance	metal4	217.39	22.715	296.05	87.115	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].i_tcdm_adapter	metal4	535.216	434.838	539.966	436.238	0.00215583
gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].i_tcdm_adapter	metal4	919.86	295.652	924.61	297.052	0.0022067
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank/genblk1.sram_instance	metal4	118.73	1014.83	197.39	1079.22	0.00141818
gen_tiles\[0\].i_tile/i_tile/gen_cores\[3\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].i_address_scrambler	metal4	697.085	935.347	706.395	936.747	0.00940201
gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].mem_bank	metal4	207.2	1066.63	207.58	1068.04	1.95455e-06
gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].mem_bank	metal4	990.989	982.235	991.369	983.635	1.9e-06
