from	to	kind	resistance_ohm
0	1	wire	0.00147397
0	20	wire	0.00147397
1	2	wire	0.00147397
1	21	wire	0.00147397
2	3	wire	0.00147397
2	22	wire	0.00147397
3	4	wire	0.00147397
3	23	wire	0.00147397
4	5	wire	0.00147397
4	24	wire	0.00147397
5	6	wire	0.00147397
5	25	wire	0.00147397
6	7	wire	0.00147397
6	26	wire	0.00147397
7	8	wire	0.00147397
7	27	wire	0.00147397
8	9	wire	0.00147397
8	28	wire	0.00147397
9	10	wire	0.00147397
9	29	wire	0.00147397
10	11	wire	0.00147397
10	30	wire	0.00147397
11	12	wire	0.00147397
11	31	wire	0.00147397
12	13	wire	0.00147397
12	32	wire	0.00147397
13	14	wire	0.00147397
13	33	wire	0.00147397
14	15	wire	0.00147397
14	34	wire	0.00147397
15	16	wire	0.00147397
15	35	wire	0.00147397
16	17	wire	0.00147397
16	36	wire	0.00147397
17	18	wire	0.00147397
17	37	wire	0.00147397
18	19	wire	0.00147397
18	38	wire	0.00147397
19	39	wire	0.00147397
20	21	wire	0.00147397
20	40	wire	0.00147397
21	22	wire	0.00147397
21	41	wire	0.00147397
22	23	wire	0.00147397
22	42	wire	0.00147397
23	24	wire	0.00147397
23	43	wire	0.00147397
24	25	wire	0.00147397
24	44	wire	0.00147397
25	26	wire	0.00147397
25	45	wire	0.00147397
26	27	wire	0.00147397
26	46	wire	0.00147397
27	28	wire	0.00147397
27	47	wire	0.00147397
28	29	wire	0.00147397
28	48	wire	0.00147397
29	30	wire	0.00147397
29	49	wire	0.00147397
30	31	wire	0.00147397
30	50	wire	0.00147397
31	32	wire	0.00147397
31	51	wire	0.00147397
32	33	wire	0.00147397
32	52	wire	0.00147397
33	34	wire	0.00147397
33	53	wire	0.00147397
34	35	wire	0.00147397
34	54	wire	0.00147397
35	36	wire	0.00147397
35	55	wire	0.00147397
36	37	wire	0.00147397
36	56	wire	0.00147397
37	38	wire	0.00147397
37	57	wire	0.00147397
38	39	wire	0.00147397
38	58	wire	0.00147397
39	59	wire	0.00147397
40	41	wire	0.00147397
40	60	wire	0.00147397
41	42	wire	0.00147397
41	61	wire	0.00147397
42	43	wire	0.00147397
42	62	wire	0.00147397
43	44	wire	0.00147397
43	63	wire	0.00147397
44	45	wire	0.00147397
44	64	wire	0.00147397
45	46	wire	0.00147397
45	65	wire	0.00147397
46	47	wire	0.00147397
46	66	wire	0.00147397
47	48	wire	0.00147397
47	67	wire	0.00147397
48	49	wire	0.00147397
48	68	wire	0.00147397
49	50	wire	0.00147397
49	69	wire	0.00147397
50	51	wire	0.00147397
50	70	wire	0.00147397
51	52	wire	0.00147397
51	71	wire	0.00147397
52	53	wire	0.00147397
52	72	wire	0.00147397
53	54	wire	0.00147397
53	73	wire	0.00147397
54	55	wire	0.00147397
54	74	wire	0.00147397
55	56	wire	0.00147397
55	75	wire	0.00147397
56	57	wire	0.00147397
56	76	wire	0.00147397
57	58	wire	0.00147397
57	77	wire	0.00147397
58	59	wire	0.00147397
58	78	wire	0.00147397
59	79	wire	0.00147397
60	61	wire	0.00147397
60	80	wire	0.00147397
61	62	wire	0.00147397
61	81	wire	0.00147397
62	63	wire	0.00147397
62	82	wire	0.00147397
63	64	wire	0.00147397
63	83	wire	0.00147397
64	65	wire	0.00147397
64	84	wire	0.00147397
65	66	wire	0.00147397
65	85	wire	0.00147397
66	67	wire	0.00147397
66	86	wire	0.00147397
67	68	wire	0.00147397
67	87	wire	0.00147397
68	69	wire	0.00147397
68	88	wire	0.00147397
69	70	wire	0.00147397
69	89	wire	0.00147397
70	71	wire	0.00147397
70	90	wire	0.00147397
71	72	wire	0.00147397
71	91	wire	0.00147397
72	73	wire	0.00147397
72	92	wire	0.00147397
73	74	wire	0.00147397
73	93	wire	0.00147397
74	75	wire	0.00147397
74	94	wire	0.00147397
75	76	wire	0.00147397
75	95	wire	0.00147397
76	77	wire	0.00147397
76	96	wire	0.00147397
77	78	wire	0.00147397
77	97	wire	0.00147397
78	79	wire	0.00147397
78	98	wire	0.00147397
79	99	wire	0.00147397
80	81	wire	0.00147397
80	100	wire	0.00147397
81	82	wire	0.00147397
81	101	wire	0.00147397
82	83	wire	0.00147397
82	102	wire	0.00147397
83	84	wire	0.00147397
83	103	wire	0.00147397
84	85	wire	0.00147397
84	104	wire	0.00147397
85	86	wire	0.00147397
85	105	wire	0.00147397
86	87	wire	0.00147397
86	106	wire	0.00147397
87	88	wire	0.00147397
87	107	wire	0.00147397
88	89	wire	0.00147397
88	108	wire	0.00147397
89	90	wire	0.00147397
89	109	wire	0.00147397
90	91	wire	0.00147397
90	110	wire	0.00147397
91	92	wire	0.00147397
91	111	wire	0.00147397
92	93	wire	0.00147397
92	112	wire	0.00147397
93	94	wire	0.00147397
93	113	wire	0.00147397
94	95	wire	0.00147397
94	114	wire	0.00147397
95	96	wire	0.00147397
95	115	wire	0.00147397
96	97	wire	0.00147397
96	116	wire	0.00147397
97	98	wire	0.00147397
97	117	wire	0.00147397
98	99	wire	0.00147397
98	118	wire	0.00147397
99	119	wire	0.00147397
100	101	wire	0.00147397
100	120	wire	0.00147397
101	102	wire	0.00147397
101	121	wire	0.00147397
102	103	wire	0.00147397
102	122	wire	0.00147397
103	104	wire	0.00147397
103	123	wire	0.00147397
104	105	wire	0.00147397
104	124	wire	0.00147397
105	106	wire	0.00147397
105	125	wire	0.00147397
106	107	wire	0.00147397
106	126	wire	0.00147397
107	108	wire	0.00147397
107	127	wire	0.00147397
108	109	wire	0.00147397
108	128	wire	0.00147397
109	110	wire	0.00147397
109	129	wire	0.00147397
110	111	wire	0.00147397
110	130	wire	0.00147397
111	112	wire	0.00147397
111	131	wire	0.00147397
112	113	wire	0.00147397
112	132	wire	0.00147397
113	114	wire	0.00147397
113	133	wire	0.00147397
114	115	wire	0.00147397
114	134	wire	0.00147397
115	116	wire	0.00147397
115	135	wire	0.00147397
116	117	wire	0.00147397
116	136	wire	0.00147397
117	118	wire	0.00147397
117	137	wire	0.00147397
118	119	wire	0.00147397
118	138	wire	0.00147397
119	139	wire	0.00147397
120	121	wire	0.00147397
120	140	wire	0.00147397
121	122	wire	0.00147397
121	141	wire	0.00147397
122	123	wire	0.00147397
122	142	wire	0.00147397
123	124	wire	0.00147397
123	143	wire	0.00147397
124	125	wire	0.00147397
124	144	wire	0.00147397
125	126	wire	0.00147397
125	145	wire	0.00147397
126	127	wire	0.00147397
126	146	wire	0.00147397
127	128	wire	0.00147397
127	147	wire	0.00147397
128	129	wire	0.00147397
128	148	wire	0.00147397
129	130	wire	0.00147397
129	149	wire	0.00147397
130	131	wire	0.00147397
130	150	wire	0.00147397
131	132	wire	0.00147397
131	151	wire	0.00147397
132	133	wire	0.00147397
132	152	wire	0.00147397
133	134	wire	0.00147397
133	153	wire	0.00147397
134	135	wire	0.00147397
134	154	wire	0.00147397
135	136	wire	0.00147397
135	155	wire	0.00147397
136	137	wire	0.00147397
136	156	wire	0.00147397
137	138	wire	0.00147397
137	157	wire	0.00147397
138	139	wire	0.00147397
138	158	wire	0.00147397
139	159	wire	0.00147397
140	141	wire	0.00147397
140	160	wire	0.00147397
141	142	wire	0.00147397
141	161	wire	0.00147397
142	143	wire	0.00147397
142	162	wire	0.00147397
143	144	wire	0.00147397
143	163	wire	0.00147397
144	145	wire	0.00147397
144	164	wire	0.00147397
145	146	wire	0.00147397
145	165	wire	0.00147397
146	147	wire	0.00147397
146	166	wire	0.00147397
147	148	wire	0.00147397
147	167	wire	0.00147397
148	149	wire	0.00147397
148	168	wire	0.00147397
149	150	wire	0.00147397
149	169	wire	0.00147397
150	151	wire	0.00147397
150	170	wire	0.00147397
151	152	wire	0.00147397
151	171	wire	0.00147397
152	153	wire	0.00147397
152	172	wire	0.00147397
153	154	wire	0.00147397
153	173	wire	0.00147397
154	155	wire	0.00147397
154	174	wire	0.00147397
155	156	wire	0.00147397
155	175	wire	0.00147397
156	157	wire	0.00147397
156	176	wire	0.00147397
157	158	wire	0.00147397
157	177	wire	0.00147397
158	159	wire	0.00147397
158	178	wire	0.00147397
159	179	wire	0.00147397
160	161	wire	0.00147397
160	180	wire	0.00147397
161	162	wire	0.00147397
161	181	wire	0.00147397
162	163	wire	0.00147397
162	182	wire	0.00147397
163	164	wire	0.00147397
163	183	wire	0.00147397
164	165	wire	0.00147397
164	184	wire	0.00147397
165	166	wire	0.00147397
165	185	wire	0.00147397
166	167	wire	0.00147397
166	186	wire	0.00147397
167	168	wire	0.00147397
167	187	wire	0.00147397
168	169	wire	0.00147397
168	188	wire	0.00147397
169	170	wire	0.00147397
169	189	wire	0.00147397
170	171	wire	0.00147397
170	190	wire	0.00147397
171	172	wire	0.00147397
171	191	wire	0.00147397
172	173	wire	0.00147397
172	192	wire	0.00147397
173	174	wire	0.00147397
173	193	wire	0.00147397
174	175	wire	0.00147397
174	194	wire	0.00147397
175	176	wire	0.00147397
175	195	wire	0.00147397
176	177	wire	0.00147397
176	196	wire	0.00147397
177	178	wire	0.00147397
177	197	wire	0.00147397
178	179	wire	0.00147397
178	198	wire	0.00147397
179	199	wire	0.00147397
180	181	wire	0.00147397
180	200	wire	0.00147397
181	182	wire	0.00147397
181	201	wire	0.00147397
182	183	wire	0.00147397
182	202	wire	0.00147397
183	184	wire	0.00147397
183	203	wire	0.00147397
184	185	wire	0.00147397
184	204	wire	0.00147397
185	186	wire	0.00147397
185	205	wire	0.00147397
186	187	wire	0.00147397
186	206	wire	0.00147397
187	188	wire	0.00147397
187	207	wire	0.00147397
188	189	wire	0.00147397
188	208	wire	0.00147397
189	190	wire	0.00147397
189	209	wire	0.00147397
