id	layer_index	layer_name	x_um	y_um	fixed_voltage	fixed_voltage_v	injected_current_a	voltage_v
0	0	metal4	10	12	0	0	0	0.999941
1	0	metal4	66	12	0	0	0	0.999941
2	0	metal4	122	12	0	0	-1.95455e-06	0.999942
3	0	metal4	178	12	0	0	0	0.999944
4	0	metal4	234	12	0	0	0	0.999945
5	0	metal4	290	12	0	0	-1.98182e-06	0.999947
6	0	metal4	346	12	0	0	0	0.999949
7	0	metal4	402	12	0	0	0	0.999952
8	0	metal4	458	12	0	0	0	0.999953
9	0	metal4	514	12	0	0	0	0.999954
10	0	metal4	570	12	0	0	0	0.999954
11	0	metal4	626	12	0	0	0	0.999952
12	0	metal4	682	12	0	0	0	0.999949
13	0	metal4	738	12	0	0	0	0.999948
14	0	metal4	794	12	0	0	0	0.999948
15	0	metal4	850	12	0	0	0	0.999947
16	0	metal4	906	12	0	0	0	0.999946
17	0	metal4	962	12	0	0	0	0.999945
18	0	metal4	1018	12	0	0	0	0.999944
19	0	metal4	1074	12	0	0	0	0.999943
20	0	metal4	10	68	0	0	0	0.99994
21	0	metal4	66	68	0	0	-0.00283636	0.999939
22	0	metal4	122	68	0	0	-0.000709091	0.999941
23	0	metal4	178	68	0	0	-0.00212727	0.999942
24	0	metal4	234	68	0	0	-0.00212727	0.999944
25	0	metal4	290	68	0	0	-0.000709091	0.999946
26	0	metal4	346	68	0	0	-0.00228073	0.999948
27	0	metal4	402	68	0	0	0	0.999951
28	0	metal4	458	68	0	0	0	0.999954
29	0	metal4	514	68	0	0	0	0.999954
30	0	metal4	570	68	0	0	0	0.999954
31	0	metal4	626	68	0	0	0	0.999951
32	0	metal4	682	68	0	0	-0.00884348	0.999946
33	0	metal4	738	68	0	0	0	0.999948
34	0	metal4	794	68	0	0	0	0.999947
35	0	metal4	850	68	0	0	0	0.999946
36	0	metal4	906	68	0	0	-0.000709091	0.999944
37	0	metal4	962	68	0	0	-0.00212727	0.999942
38	0	metal4	1018	68	0	0	-0.00212727	0.999942
39	0	metal4	1074	68	0	0	-0.000709091	0.999942
40	0	metal4	10	124	0	0	0	0.999939
41	0	metal4	66	124	0	0	-0.00242929	0.999939
