net	sig_type	shape_kind	layer	llx_um	lly_um	urx_um	ury_um	cx_um	cy_um
VDD	POWER	wire	metal6	292.405	1018.9	293.335	1080.3	292.87	1049.6
VDD	POWER	wire	metal6	282.405	1018.9	283.335	1080.3	282.87	1049.6
VDD	POWER	wire	metal6	272.405	1018.9	273.335	1080.3	272.87	1049.6
VDD	POWER	wire	metal6	262.405	1018.9	263.335	1080.3	262.87	1049.6
VDD	POWER	wire	metal6	252.405	1018.9	253.335	1080.3	252.87	1049.6
VDD	POWER	wire	metal6	242.405	1018.9	243.335	1080.3	242.87	1049.6
VDD	POWER	wire	metal6	232.405	1018.9	233.335	1080.3	232.87	1049.6
VDD	POWER	wire	metal6	222.405	1018.9	223.335	1080.3	222.87	1049.6
VDD	POWER	wire	metal5	220.77	1073.56	293.335	1074.49	257.0525	1074.025
VDD	POWER	wire	metal5	220.77	1063.56	293.335	1064.49	257.0525	1064.025
VDD	POWER	wire	metal5	220.77	1053.56	293.335	1054.49	257.0525	1054.025
VDD	POWER	wire	metal5	220.77	1043.56	293.335	1044.49	257.0525	1044.025
VDD	POWER	wire	metal5	220.77	1033.56	293.335	1034.49	257.0525	1034.025
VDD	POWER	wire	metal5	220.77	1023.56	293.335	1024.49	257.0525	1024.025
VDD	POWER	via	?	292.405	1078.9	293.335	1080.3	292.87	1079.6
VDD	POWER	via	?	292.405	1048.9	293.335	1050.3	292.87	1049.6
VDD	POWER	via	?	292.405	1018.9	293.335	1020.3	292.87	1019.6
VDD	POWER	via	?	282.405	1078.9	283.335	1080.3	282.87	1079.6
VDD	POWER	via	?	282.405	1048.9	283.335	1050.3	282.87	1049.6
VDD	POWER	via	?	282.405	1018.9	283.335	1020.3	282.87	1019.6
VDD	POWER	via	?	272.405	1078.9	273.335	1080.3	272.87	1079.6
VDD	POWER	via	?	272.405	1048.9	273.335	1050.3	272.87	1049.6
VDD	POWER	via	?	272.405	1018.9	273.335	1020.3	272.87	1019.6
VDD	POWER	via	?	262.405	1078.9	263.335	1080.3	262.87	1079.6
VDD	POWER	via	?	262.405	1048.9	263.335	1050.3	262.87	1049.6
VDD	POWER	via	?	262.405	1018.9	263.335	1020.3	262.87	1019.6
VDD	POWER	via	?	252.405	1078.9	253.335	1080.3	252.87	1079.6
VDD	POWER	via	?	252.405	1048.9	253.335	1050.3	252.87	1049.6
VDD	POWER	via	?	252.405	1018.9	253.335	1020.3	252.87	1019.6
VDD	POWER	via	?	242.405	1078.9	243.335	1080.3	242.87	1079.6
VDD	POWER	via	?	242.405	1048.9	243.335	1050.3	242.87	1049.6
VDD	POWER	via	?	242.405	1018.9	243.335	1020.3	242.87	1019.6
