# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
292.87	1079.6	292.405	1078.9	293.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
292.87	1049.6	292.405	1048.9	293.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
292.87	1019.6	292.405	1018.9	293.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
282.87	1079.6	282.405	1078.9	283.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
282.87	1049.6	282.405	1048.9	283.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
282.87	1019.6	282.405	1018.9	283.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
272.87	1079.6	272.405	1078.9	273.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
272.87	1049.6	272.405	1048.9	273.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
272.87	1019.6	272.405	1018.9	273.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
262.87	1079.6	262.405	1078.9	263.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
262.87	1049.6	262.405	1048.9	263.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
262.87	1019.6	262.405	1018.9	263.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
252.87	1079.6	252.405	1078.9	253.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
252.87	1049.6	252.405	1048.9	253.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
252.87	1019.6	252.405	1018.9	253.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
242.87	1079.6	242.405	1078.9	243.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
242.87	1049.6	242.405	1048.9	243.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
242.87	1019.6	242.405	1018.9	243.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
232.87	1079.6	232.405	1078.9	233.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
232.87	1049.6	232.405	1048.9	233.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
232.87	1019.6	232.405	1018.9	233.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
222.87	1079.6	222.405	1078.9	223.335	1080.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
222.87	1049.6	222.405	1048.9	223.335	1050.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
222.87	1019.6	222.405	1018.9	223.335	1020.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
292.87	1074.025	292.405	1073.56	293.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
292.87	1064.025	292.405	1063.56	293.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
292.87	1054.025	292.405	1053.56	293.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
292.87	1044.025	292.405	1043.56	293.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
292.87	1034.025	292.405	1033.56	293.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
292.87	1024.025	292.405	1023.56	293.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
282.87	1074.025	282.405	1073.56	283.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
282.87	1064.025	282.405	1063.56	283.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
282.87	1054.025	282.405	1053.56	283.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
282.87	1044.025	282.405	1043.56	283.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
282.87	1034.025	282.405	1033.56	283.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
282.87	1024.025	282.405	1023.56	283.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
272.87	1074.025	272.405	1073.56	273.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
272.87	1064.025	272.405	1063.56	273.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
272.87	1054.025	272.405	1053.56	273.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
272.87	1044.025	272.405	1043.56	273.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
272.87	1034.025	272.405	1033.56	273.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
272.87	1024.025	272.405	1023.56	273.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
262.87	1074.025	262.405	1073.56	263.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
262.87	1064.025	262.405	1063.56	263.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
262.87	1054.025	262.405	1053.56	263.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
262.87	1044.025	262.405	1043.56	263.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
262.87	1034.025	262.405	1033.56	263.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
262.87	1024.025	262.405	1023.56	263.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
252.87	1074.025	252.405	1073.56	253.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
252.87	1064.025	252.405	1063.56	253.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
252.87	1054.025	252.405	1053.56	253.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
252.87	1044.025	252.405	1043.56	253.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
252.87	1034.025	252.405	1033.56	253.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
252.87	1024.025	252.405	1023.56	253.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
242.87	1074.025	242.405	1073.56	243.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
242.87	1064.025	242.405	1063.56	243.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
242.87	1054.025	242.405	1053.56	243.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
242.87	1044.025	242.405	1043.56	243.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
242.87	1034.025	242.405	1033.56	243.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
242.87	1024.025	242.405	1023.56	243.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
232.87	1074.025	232.405	1073.56	233.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
232.87	1064.025	232.405	1063.56	233.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
232.87	1054.025	232.405	1053.56	233.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
232.87	1044.025	232.405	1043.56	233.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
232.87	1034.025	232.405	1033.56	233.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
232.87	1024.025	232.405	1023.56	233.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
222.87	1074.025	222.405	1073.56	223.335	1074.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
222.87	1064.025	222.405	1063.56	223.335	1064.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
222.87	1054.025	222.405	1053.56	223.335	1054.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
222.87	1044.025	222.405	1043.56	223.335	1044.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
222.87	1034.025	222.405	1033.56	223.335	1034.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
222.87	1024.025	222.405	1023.56	223.335	1024.49	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
288.11	1074.025	287.97	1073.56	288.25	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
288.11	1064.025	287.97	1063.56	288.25	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
288.11	1054.025	287.97	1053.56	288.25	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
288.11	1044.025	287.97	1043.56	288.25	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
288.11	1034.025	287.97	1033.56	288.25	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
288.11	1024.025	287.97	1023.56	288.25	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
283.63	1074.025	283.49	1073.56	283.77	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
283.63	1064.025	283.49	1063.56	283.77	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
283.63	1054.025	283.49	1053.56	283.77	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
283.63	1044.025	283.49	1043.56	283.77	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
283.63	1034.025	283.49	1033.56	283.77	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
283.63	1024.025	283.49	1023.56	283.77	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
279.15	1074.025	279.01	1073.56	279.29	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
279.15	1064.025	279.01	1063.56	279.29	1064.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
279.15	1054.025	279.01	1053.56	279.29	1054.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
279.15	1044.025	279.01	1043.56	279.29	1044.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
279.15	1034.025	279.01	1033.56	279.29	1034.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
279.15	1024.025	279.01	1023.56	279.29	1024.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
274.67	1074.025	274.53	1073.56	274.81	1074.49	metal4	metal5	via4_5_560_1860_3_1_600_600	VDD
