# x_um	y_um	llx_um	lly_um	urx_um	ury_um	lower_layer	upper_layer	via_name	net
194.97	239.6	194.505	238.9	195.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
194.97	209.6	194.505	208.9	195.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
184.97	239.6	184.505	238.9	185.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
184.97	209.6	184.505	208.9	185.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
174.97	239.6	174.505	238.9	175.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
174.97	209.6	174.505	208.9	175.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
164.97	239.6	164.505	238.9	165.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
164.97	209.6	164.505	208.9	165.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
154.97	239.6	154.505	238.9	155.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
154.97	209.6	154.505	208.9	155.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
144.97	239.6	144.505	238.9	145.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
144.97	209.6	144.505	208.9	145.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
134.97	239.6	134.505	238.9	135.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
134.97	209.6	134.505	208.9	135.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
124.97	239.6	124.505	238.9	125.435	240.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
124.97	209.6	124.505	208.9	125.435	210.3	metal6	metal7	via6_7_1860_2800_4_2_600_600	VDD
194.97	246.315	194.505	245.85	195.435	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
194.97	236.315	194.505	235.85	195.435	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
194.97	226.315	194.505	225.85	195.435	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
194.97	216.315	194.505	215.85	195.435	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
194.97	206.315	194.505	205.85	195.435	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
194.97	196.315	194.505	195.85	195.435	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
184.97	246.315	184.505	245.85	185.435	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
184.97	236.315	184.505	235.85	185.435	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
184.97	226.315	184.505	225.85	185.435	226.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
184.97	216.315	184.505	215.85	185.435	216.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
184.97	206.315	184.505	205.85	185.435	206.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
184.97	196.315	184.505	195.85	185.435	196.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
174.97	246.315	174.505	245.85	175.435	246.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
174.97	236.315	174.505	235.85	175.435	236.78	metal5	metal6	via5_6_1860_1860_3_3_600_600	VDD
