layer	ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V	is_vsrc
metal1	0	0	14.095	14	0	0	0	1.09999	0
metal1	1	0	40.07	14	0	0	0	1.09957	0
metal1	2	0	96.07	14	0	0	0	1.09866	0
metal1	3	0	108.455	14	0	0	0	1.09847	0
metal1	4	0	109.295	14	0	0	0	1.09845	0
metal1	5	0	152.07	14	0	0	0	1.09781	0
metal1	6	0	208.07	14	0	0	0	1.09699	0
metal1	7	0	264.07	14	0	0	0	1.0962	0
metal1	8	0	320.07	14	0.000558233	0	0.000558233	1.09543	0
metal1	9	0	376.07	14	0.000583463	0	0.000583463	1.09475	0
metal1	10	0	432.07	14	0.00256678	0	0.00256678	1.0941	0
metal1	11	0	488.07	14	0.00265382	0	0.00265382	1.09367	0
metal1	12	0	544.07	14	0.00265382	0	0.00265382	1.09342	0
metal1	13	0	600.07	14	0.00265382	0	0.00265382	1.09336	0
metal1	14	0	656.07	14	0.00265382	0	0.00265382	1.0935	0
metal1	15	0	712.07	14	0.00265382	0	0.00265382	1.09384	0
metal1	16	0	768.07	14	0.00265382	0	0.00265382	1.09436	0
metal1	17	0	824.07	14	0.00265382	0	0.00265382	1.09508	0
metal1	18	0	880.07	14	0.00200026	0	0.00200026	1.09598	0
metal1	19	0	936.07	14	0	0	0	1.09705	0
metal1	20	0	992.07	14	0	0	0	1.09812	0
metal1	21	0	1048.07	14	0	0	0	1.09922	0
metal1	22	0	1086.21	14	0	0	0	1.09999	0
metal1	0	1	14.095	16.8	0	0	0	1.09999	0
metal1	1	1	40.07	16.8	0	0	0	1.09957	0
metal1	2	1	96.07	16.8	0	0	0	1.09866	0
metal1	3	1	108.455	16.8	0	0	0	1.09847	0
metal1	4	1	109.295	16.8	0	0	0	1.09845	0
metal1	5	1	152.07	16.8	0	0	0	1.09781	0
metal1	6	1	208.07	16.8	0	0	0	1.09699	0
metal1	7	1	264.07	16.8	0	0	0	1.0962	0
metal1	8	1	320.07	16.8	0.000495644	0	0.000495644	1.09544	0
metal1	9	1	376.07	16.8	0.000518272	0	0.000518272	1.09475	0
metal1	10	1	432.07	16.8	0.00233621	0	0.00233621	1.09412	0
metal1	11	1	488.07	16.8	0.00243178	0	0.00243178	1.09369	0
metal1	12	1	544.07	16.8	0.00243178	0	0.00243178	1.09344	0
metal1	13	1	600.07	16.8	0.00243178	0	0.00243178	1.09339	0
metal1	14	1	656.07	16.8	0.00243178	0	0.00243178	1.09353	0
metal1	15	1	712.07	16.8	0.00243178	0	0.00243178	1.09386	0
metal1	16	1	768.07	16.8	0.00243178	0	0.00243178	1.09439	0
metal1	17	1	824.07	16.8	0.00243178	0	0.00243178	1.0951	0
metal1	18	1	880.07	16.8	0.00176293	0	0.00176293	1.096	0
metal1	19	1	936.07	16.8	0	0	0	1.09705	0
metal1	20	1	992.07	16.8	0	0	0	1.09812	0
metal1	21	1	1048.07	16.8	0	0	0	1.09923	0
metal1	22	1	1086.21	16.8	0	0	0	1.09999	0
metal1	0	2	14.095	19.6	0	0	0	1.1	0
metal1	1	2	40.07	19.6	0	0	0	1.09957	0
metal1	2	2	96.07	19.6	0	0	0	1.09866	0
metal1	3	2	108.455	19.6	0	0	0	1.09846	0
metal1	4	2	109.295	19.6	0	0	0	1.09845	0
metal1	5	2	152.07	19.6	0	0	0	1.0978	0
metal1	6	2	208.07	19.6	0	0	0	1.09698	0
metal1	7	2	264.07	19.6	0	0	0	1.09619	0
metal1	8	2	320.07	19.6	0.000495644	0	0.000495644	1.09543	0
metal1	9	2	376.07	19.6	0.000518272	0	0.000518272	1.09474	0
metal1	10	2	432.07	19.6	0.00233621	0	0.00233621	1.09411	0
metal1	11	2	488.07	19.6	0.00243178	0	0.00243178	1.09367	0
metal1	12	2	544.07	19.6	0.00243178	0	0.00243178	1.09342	0
metal1	13	2	600.07	19.6	0.00243178	0	0.00243178	1.09337	0
metal1	14	2	656.07	19.6	0.00243178	0	0.00243178	1.09351	0
metal1	15	2	712.07	19.6	0.00243178	0	0.00243178	1.09384	0
metal1	16	2	768.07	19.6	0.00243178	0	0.00243178	1.09437	0
metal1	17	2	824.07	19.6	0.00243178	0	0.00243178	1.09509	0
metal1	18	2	880.07	19.6	0.00176293	0	0.00176293	1.09599	0
metal1	19	2	936.07	19.6	0	0	0	1.09704	0
metal1	20	2	992.07	19.6	0	0	0	1.09812	0
metal1	21	2	1048.07	19.6	0	0	0	1.09922	0
metal1	22	2	1086.21	19.6	0	0	0	1.09999	0
metal1	0	3	14.095	22.4	0	0	0	1.09999	0
metal1	1	3	40.07	22.4	0	0	0	1.09956	0
metal1	2	3	96.07	22.4	0	0	0	1.09864	0
metal1	3	3	108.455	22.4	0	0	0	1.09845	0
metal1	4	3	109.295	22.4	0	0	0	1.09844	0
metal1	5	3	152.07	22.4	0	0	0	1.09779	0
metal1	6	3	208.07	22.4	0	0	0	1.09696	0
metal1	7	3	264.07	22.4	0	0	0	1.09616	0
metal1	8	3	320.07	22.4	0.000495644	0	0.000495644	1.09539	0
metal1	9	3	376.07	22.4	0.000518272	0	0.000518272	1.09469	0
metal1	10	3	432.07	22.4	0.00233621	0	0.00233621	1.09403	0
metal1	11	3	488.07	22.4	0.00243178	0	0.00243178	1.09359	0
metal1	12	3	544.07	22.4	0.00243178	0	0.00243178	1.09333	0
metal1	13	3	600.07	22.4	0.00243178	0	0.00243178	1.09327	0
metal1	14	3	656.07	22.4	0.00243178	0	0.00243178	1.09341	0
metal1	15	3	712.07	22.4	0.00243178	0	0.00243178	1.09375	0
metal1	16	3	768.07	22.4	0.00243178	0	0.00243178	1.09428	0
metal1	17	3	824.07	22.4	0.00243178	0	0.00243178	1.09501	0
metal1	18	3	880.07	22.4	0.00176293	0	0.00176293	1.09593	0
metal1	19	3	936.07	22.4	0	0	0	1.09701	0
metal1	20	3	992.07	22.4	0	0	0	1.0981	0
metal1	21	3	1048.07	22.4	0	0	0	1.09921	0
metal1	22	3	1086.21	22.4	0	0	0	1.09999	0
metal1	0	4	14.095	25.2	0	0	0	1.09999	0
metal1	1	4	40.07	25.2	0	0	0	1.09956	0
metal1	2	4	96.07	25.2	0	0	0	1.09863	0
metal1	3	4	108.455	25.2	0	0	0	1.09844	0
metal1	4	4	109.295	25.2	0	0	0	1.09843	0
metal1	5	4	152.07	25.2	0	0	0	1.09777	0
metal1	6	4	208.07	25.2	0	0	0	1.09694	0
metal1	7	4	264.07	25.2	0	0	0	1.09614	0
metal1	8	4	320.07	25.2	0.000495644	0	0.000495644	1.09536	0
metal1	9	4	376.07	25.2	0.000518272	0	0.000518272	1.09465	0
metal1	10	4	432.07	25.2	0.00233621	0	0.00233621	1.09398	0
metal1	11	4	488.07	25.2	0.00243178	0	0.00243178	1.09352	0
metal1	12	4	544.07	25.2	0.00243178	0	0.00243178	1.09326	0
metal1	13	4	600.07	25.2	0.00243178	0	0.00243178	1.0932	0
metal1	14	4	656.07	25.2	0.00243178	0	0.00243178	1.09334	0
metal1	15	4	712.07	25.2	0.00243178	0	0.00243178	1.09368	0
metal1	16	4	768.07	25.2	0.00243178	0	0.00243178	1.09422	0
metal1	17	4	824.07	25.2	0.00243178	0	0.00243178	1.09495	0
metal1	18	4	880.07	25.2	0.00176293	0	0.00176293	1.09588	0
metal1	19	4	936.07	25.2	0	0	0	1.09698	0
metal1	20	4	992.07	25.2	0	0	0	1.09808	0
metal1	21	4	1048.07	25.2	0	0	0	1.0992	0
metal1	22	4	1086.21	25.2	0	0	0	1.09999	0
metal1	0	5	14.095	28	0	0	0	1.09999	0
metal1	1	5	40.07	28	0	0	0	1.09956	0
metal1	2	5	96.07	28	0	0	0	1.09863	0
metal1	3	5	108.455	28	0	0	0	1.09843	0
metal1	4	5	109.295	28	0	0	0	1.09842	0
metal1	5	5	152.07	28	0	0	0	1.09776	0
metal1	6	5	208.07	28	0	0	0	1.09693	0
metal1	7	5	264.07	28	0	0	0	1.09612	0
metal1	8	5	320.07	28	0.000495644	0	0.000495644	1.09533	0
metal1	9	5	376.07	28	0.000518272	0	0.000518272	1.09461	0
metal1	10	5	432.07	28	0.00233621	0	0.00233621	1.09394	0
metal1	11	5	488.07	28	0.00243178	0	0.00243178	1.09348	0
metal1	12	5	544.07	28	0.00243178	0	0.00243178	1.09322	0
metal1	13	5	600.07	28	0.00243178	0	0.00243178	1.09316	0
metal1	14	5	656.07	28	0.00243178	0	0.00243178	1.09329	0
metal1	15	5	712.07	28	0.00243178	0	0.00243178	1.09363	0
metal1	16	5	768.07	28	0.00243178	0	0.00243178	1.09417	0
metal1	17	5	824.07	28	0.00243178	0	0.00243178	1.09491	0
metal1	18	5	880.07	28	0.00176293	0	0.00176293	1.09585	0
metal1	19	5	936.07	28	0	0	0	1.09695	0
metal1	20	5	992.07	28	0	0	0	1.09806	0
metal1	21	5	1048.07	28	0	0	0	1.0992	0
metal1	22	5	1086.21	28	0	0	0	1.09999	0
metal1	0	6	14.095	30.8	0	0	0	1.09999	0
metal1	1	6	40.07	30.8	0	0	0	1.09955	0
metal1	2	6	96.07	30.8	0	0	0	1.09861	0
metal1	3	6	108.455	30.8	0	0	0	1.09842	0
metal1	4	6	109.295	30.8	0	0	0	1.0984	0
metal1	5	6	152.07	30.8	0	0	0	1.09774	0
metal1	6	6	208.07	30.8	0	0	0	1.0969	0
metal1	7	6	264.07	30.8	0	0	0	1.09609	0
metal1	8	6	320.07	30.8	0.000495644	0	0.000495644	1.09529	0
metal1	9	6	376.07	30.8	0.000518272	0	0.000518272	1.09456	0
metal1	10	6	432.07	30.8	0.00233621	0	0.00233621	1.09386	0
metal1	11	6	488.07	30.8	0.00243178	0	0.00243178	1.09339	0
metal1	12	6	544.07	30.8	0.00243178	0	0.00243178	1.09312	0
metal1	13	6	600.07	30.8	0.00243178	0	0.00243178	1.09306	0
metal1	14	6	656.07	30.8	0.00243178	0	0.00243178	1.0932	0
metal1	15	6	712.07	30.8	0.00243178	0	0.00243178	1.09354	0
metal1	16	6	768.07	30.8	0.00243178	0	0.00243178	1.09408	0
metal1	17	6	824.07	30.8	0.00243178	0	0.00243178	1.09483	0
metal1	18	6	880.07	30.8	0.00176293	0	0.00176293	1.09579	0
metal1	19	6	936.07	30.8	0	0	0	1.09692	0
metal1	20	6	992.07	30.8	0	0	0	1.09804	0
metal1	21	6	1048.07	30.8	0	0	0	1.09918	0
metal1	22	6	1086.21	30.8	0	0	0	1.09998	0
metal1	0	7	14.095	33.6	0	0	0	1.09996	0
metal1	1	7	40.07	33.6	0	0	0	1.09953	0
metal1	2	7	96.07	33.6	0	0	0	1.09859	0
metal1	3	7	108.455	33.6	0	0	0	1.0984	0
metal1	4	7	109.295	33.6	0	0	0	1.09838	0
metal1	5	7	152.07	33.6	0	0	0	1.09772	0
metal1	6	7	208.07	33.6	0	0	0	1.09687	0
metal1	7	7	264.07	33.6	0	0	0	1.09605	0
metal1	8	7	320.07	33.6	0.000495644	0	0.000495644	1.09523	0
metal1	9	7	376.07	33.6	0.000518272	0	0.000518272	1.09448	0
metal1	10	7	432.07	33.6	0.00233621	0	0.00233621	1.09372	0
metal1	11	7	488.07	33.6	0.00243178	0	0.00243178	1.09323	0
metal1	12	7	544.07	33.6	0.00243178	0	0.00243178	1.09296	0
metal1	13	7	600.07	33.6	0.00243178	0	0.00243178	1.09289	0
metal1	14	7	656.07	33.6	0.00243178	0	0.00243178	1.09303	0
metal1	15	7	712.07	33.6	0.00243178	0	0.00243178	1.09337	0
metal1	16	7	768.07	33.6	0.00243178	0	0.00243178	1.09392	0
metal1	17	7	824.07	33.6	0.00243178	0	0.00243178	1.09468	0
metal1	18	7	880.07	33.6	0.00176293	0	0.00176293	1.09567	0
metal1	19	7	936.07	33.6	0	0	0	1.09687	0
metal1	20	7	992.07	33.6	0	0	0	1.09801	0
metal1	21	7	1048.07	33.6	0	0	0	1.09915	0
metal1	22	7	1086.21	33.6	0	0	0	1.09995	0
metal1	0	8	14.095	36.4	0	0	0	1.09993	0
metal1	1	8	40.07	36.4	0	0	0	1.09952	0
metal1	2	8	96.07	36.4	0	0	0	1.09856	0
metal1	3	8	108.455	36.4	0	0	0	1.09838	0
metal1	4	8	109.295	36.4	0	0	0	1.09836	0
metal1	5	8	152.07	36.4	0	0	0	1.09769	0
metal1	6	8	208.07	36.4	0	0	0	1.09684	0
metal1	7	8	264.07	36.4	0	0	0	1.09601	0
metal1	8	8	320.07	36.4	0.000495644	0	0.000495644	1.09517	0
metal1	9	8	376.07	36.4	0.000518272	0	0.000518272	1.09441	0
metal1	10	8	432.07	36.4	0.00233621	0	0.00233621	1.09359	0
metal1	11	8	488.07	36.4	0.00243178	0	0.00243178	1.09309	0
metal1	12	8	544.07	36.4	0.00243178	0	0.00243178	1.09281	0
metal1	13	8	600.07	36.4	0.00243178	0	0.00243178	1.09274	0
metal1	14	8	656.07	36.4	0.00243178	0	0.00243178	1.09288	0
metal1	15	8	712.07	36.4	0.00243178	0	0.00243178	1.09323	0
metal1	16	8	768.07	36.4	0.00243178	0	0.00243178	1.09378	0
metal1	17	8	824.07	36.4	0.00243178	0	0.00243178	1.09455	0
metal1	18	8	880.07	36.4	0.00176293	0	0.00176293	1.09557	0
metal1	19	8	936.07	36.4	0	0	0	1.09682	0
metal1	20	8	992.07	36.4	0	0	0	1.09798	0
metal1	21	8	1048.07	36.4	0	0	0	1.09913	0
metal1	22	8	1086.21	36.4	0	0	0	1.09992	0
metal1	0	9	14.095	39.2	0	0	0	1.09992	0
metal1	1	9	40.07	39.2	0	0	0	1.09951	0
metal1	2	9	96.07	39.2	0	0	0	1.09854	0
metal1	3	9	108.455	39.2	0	0	0	1.09836	0
metal1	4	9	109.295	39.2	0	0	0	1.09835	0
metal1	5	9	152.07	39.2	0	0	0	1.09767	0
metal1	6	9	208.07	39.2	0	0	0	1.09682	0
metal1	7	9	264.07	39.2	0	0	0	1.09597	0
metal1	8	9	320.07	39.2	0.000495644	0	0.000495644	1.09512	0
metal1	9	9	376.07	39.2	0.000518272	0	0.000518272	1.09435	0
metal1	10	9	432.07	39.2	0.00233621	0	0.00233621	1.09348	0
metal1	11	9	488.07	39.2	0.00243178	0	0.00243178	1.09297	0
metal1	12	9	544.07	39.2	0.00243178	0	0.00243178	1.09269	0
metal1	13	9	600.07	39.2	0.00243178	0	0.00243178	1.09262	0
metal1	14	9	656.07	39.2	0.00243178	0	0.00243178	1.09276	0
metal1	15	9	712.07	39.2	0.00243178	0	0.00243178	1.0931	0
metal1	16	9	768.07	39.2	0.00243178	0	0.00243178	1.09366	0
metal1	17	9	824.07	39.2	0.00243178	0	0.00243178	1.09444	0
metal1	18	9	880.07	39.2	0.00176293	0	0.00176293	1.09549	0
metal1	19	9	936.07	39.2	0	0	0	1.09678	0
metal1	20	9	992.07	39.2	0	0	0	1.09796	0
metal1	21	9	1048.07	39.2	0	0	0	1.09911	0
metal1	22	9	1086.21	39.2	0	0	0	1.0999	0
metal1	0	10	14.095	42	0	0	0	1.09991	0
metal1	1	10	40.07	42	0	0	0	1.0995	0
metal1	2	10	96.07	42	0	0	0	1.09853	0
metal1	3	10	108.455	42	0	0	0	1.09834	0
metal1	4	10	109.295	42	0	0	0	1.09833	0
metal1	5	10	152.07	42	0	0	0	1.09765	0
metal1	6	10	208.07	42	0	0	0	1.09679	0
metal1	7	10	264.07	42	0	0	0	1.09594	0
metal1	8	10	320.07	42	0.000495644	0	0.000495644	1.09507	0
metal1	9	10	376.07	42	0.000518272	0	0.000518272	1.09429	0
metal1	10	10	432.07	42	0.00233621	0	0.00233621	1.0934	0
metal1	11	10	488.07	42	0.00243178	0	0.00243178	1.09288	0
metal1	12	10	544.07	42	0.00243178	0	0.00243178	1.09259	0
metal1	13	10	600.07	42	0.00243178	0	0.00243178	1.09252	0
metal1	14	10	656.07	42	0.00243178	0	0.00243178	1.09265	0
metal1	15	10	712.07	42	0.00243178	0	0.00243178	1.093	0
metal1	16	10	768.07	42	0.00243178	0	0.00243178	1.09357	0
metal1	17	10	824.07	42	0.00243178	0	0.00243178	1.09435	0
metal1	18	10	880.07	42	0.00176293	0	0.00176293	1.09542	0
metal1	19	10	936.07	42	0	0	0	1.09674	0
metal1	20	10	992.07	42	0	0	0	1.09793	0
metal1	21	10	1048.07	42	0	0	0	1.09909	0
metal1	22	10	1086.21	42	0	0	0	1.09989	0
metal1	0	11	14.095	44.8	0	0	0	1.09991	0
metal1	1	11	40.07	44.8	0	0	0	1.09949	0
metal1	2	11	96.07	44.8	0	0	0	1.09852	0
metal1	3	11	108.455	44.8	0	0	0	1.09833	0
metal1	4	11	109.295	44.8	0	0	0	1.09832	0
metal1	5	11	152.07	44.8	0	0	0	1.09763	0
metal1	6	11	208.07	44.8	0	0	0	1.09677	0
metal1	7	11	264.07	44.8	0	0	0	1.0959	0
metal1	8	11	320.07	44.8	0.000495644	0	0.000495644	1.09503	0
metal1	9	11	376.07	44.8	0.000518272	0	0.000518272	1.09424	0
metal1	10	11	432.07	44.8	0.00233621	0	0.00233621	1.09333	0
metal1	11	11	488.07	44.8	0.00243178	0	0.00243178	1.0928	0
metal1	12	11	544.07	44.8	0.00243178	0	0.00243178	1.09251	0
metal1	13	11	600.07	44.8	0.00243178	0	0.00243178	1.09243	0
metal1	14	11	656.07	44.8	0.00243178	0	0.00243178	1.09257	0
metal1	15	11	712.07	44.8	0.00243178	0	0.00243178	1.09293	0
metal1	16	11	768.07	44.8	0.00243178	0	0.00243178	1.09349	0
metal1	17	11	824.07	44.8	0.00243178	0	0.00243178	1.09428	0
metal1	18	11	880.07	44.8	0.00176293	0	0.00176293	1.09536	0
metal1	19	11	936.07	44.8	0	0	0	1.09671	0
metal1	20	11	992.07	44.8	0	0	0	1.09791	0
metal1	21	11	1048.07	44.8	0	0	0	1.09908	0
metal1	22	11	1086.21	44.8	0	0	0	1.09989	0
metal1	0	12	14.095	47.6	0	0	0	1.09991	0
metal1	1	12	40.07	47.6	0	0	0	1.09948	0
metal1	2	12	96.07	47.6	0	0	0	1.09851	0
metal1	3	12	108.455	47.6	0	0	0	1.09832	0
metal1	4	12	109.295	47.6	0	0	0	1.09831	0
metal1	5	12	152.07	47.6	0	0	0	1.09761	0
metal1	6	12	208.07	47.6	0	0	0	1.09675	0
metal1	7	12	264.07	47.6	0	0	0	1.09587	0
metal1	8	12	320.07	47.6	0.000495644	0	0.000495644	1.095	0
metal1	9	12	376.07	47.6	0.000518272	0	0.000518272	1.0942	0
metal1	10	12	432.07	47.6	0.00233621	0	0.00233621	1.09329	0
metal1	11	12	488.07	47.6	0.00243178	0	0.00243178	1.09275	0
metal1	12	12	544.07	47.6	0.00243178	0	0.00243178	1.09245	0
metal1	13	12	600.07	47.6	0.00243178	0	0.00243178	1.09238	0
metal1	14	12	656.07	47.6	0.00243178	0	0.00243178	1.09251	0
metal1	15	12	712.07	47.6	0.00243178	0	0.00243178	1.09287	0
metal1	16	12	768.07	47.6	0.00243178	0	0.00243178	1.09344	0
metal1	17	12	824.07	47.6	0.00243178	0	0.00243178	1.09424	0
metal1	18	12	880.07	47.6	0.00176293	0	0.00176293	1.09533	0
metal1	19	12	936.07	47.6	0	0	0	1.09667	0
metal1	20	12	992.07	47.6	0	0	0	1.09789	0
metal1	21	12	1048.07	47.6	0	0	0	1.09907	0
metal1	22	12	1086.21	47.6	0	0	0	1.09989	0
metal1	0	13	14.095	50.4	0	0	0	1.09992	0
metal1	1	13	40.07	50.4	0	0	0	1.09948	0
metal1	2	13	96.07	50.4	0	0	0	1.09851	0
metal1	3	13	108.455	50.4	0	0	0	1.09831	0
metal1	4	13	109.295	50.4	0	0	0	1.0983	0
metal1	5	13	152.07	50.4	0	0	0	1.09759	0
metal1	6	13	208.07	50.4	0	0	0	1.09673	0
metal1	7	13	264.07	50.4	0	0	0	1.09585	0
metal1	8	13	320.07	50.4	0.000495644	0	0.000495644	1.09497	0
metal1	9	13	376.07	50.4	0.000518272	0	0.000518272	1.09417	0
metal1	10	13	432.07	50.4	0.00233621	0	0.00233621	1.09326	0
metal1	11	13	488.07	50.4	0.00243178	0	0.00243178	1.09272	0
metal1	12	13	544.07	50.4	0.00243178	0	0.00243178	1.09242	0
metal1	13	13	600.07	50.4	0.00243178	0	0.00243178	1.09234	0
metal1	14	13	656.07	50.4	0.00243178	0	0.00243178	1.09248	0
metal1	15	13	712.07	50.4	0.00243178	0	0.00243178	1.09283	0
metal1	16	13	768.07	50.4	0.00243178	0	0.00243178	1.09341	0
metal1	17	13	824.07	50.4	0.00243178	0	0.00243178	1.09422	0
metal1	18	13	880.07	50.4	0.00176293	0	0.00176293	1.09531	0
metal1	19	13	936.07	50.4	0	0	0	1.09664	0
metal1	20	13	992.07	50.4	0	0	0	1.09788	0
metal1	21	13	1048.07	50.4	0	0	0	1.09906	0
metal1	22	13	1086.21	50.4	0	0	0	1.0999	0
metal1	0	14	14.095	53.2	0	0	0	1.09994	0
metal1	1	14	40.07	53.2	0	0	0	1.09948	0
metal1	2	14	96.07	53.2	0	0	0	1.0985	0
metal1	3	14	108.455	53.2	0	0	0	1.09831	0
metal1	4	14	109.295	53.2	0	0	0	1.09829	0
metal1	5	14	152.07	53.2	0	0	0	1.09758	0
metal1	6	14	208.07	53.2	0	0	0	1.09671	0
metal1	7	14	264.07	53.2	0	0	0	1.09582	0
metal1	8	14	320.07	53.2	0.000495644	0	0.000495644	1.09495	0
metal1	9	14	376.07	53.2	0.000518272	0	0.000518272	1.09414	0
metal1	10	14	432.07	53.2	0.00233621	0	0.00233621	1.09326	0
metal1	11	14	488.07	53.2	0.00243178	0	0.00243178	1.09271	0
metal1	12	14	544.07	53.2	0.00243178	0	0.00243178	1.09241	0
metal1	13	14	600.07	53.2	0.00243178	0	0.00243178	1.09232	0
metal1	14	14	656.07	53.2	0.00243178	0	0.00243178	1.09246	0
metal1	15	14	712.07	53.2	0.00243178	0	0.00243178	1.09282	0
metal1	16	14	768.07	53.2	0.00243178	0	0.00243178	1.0934	0
metal1	17	14	824.07	53.2	0.00243178	0	0.00243178	1.09421	0
metal1	18	14	880.07	53.2	0.00176293	0	0.00176293	1.0953	0
metal1	19	14	936.07	53.2	0	0	0	1.09662	0
metal1	20	14	992.07	53.2	0	0	0	1.09786	0
metal1	21	14	1048.07	53.2	0	0	0	1.09906	0
metal1	22	14	1086.21	53.2	0	0	0	1.09992	0
metal1	0	15	14.095	56	0	0	0	1.09996	0
metal1	1	15	40.07	56	0	0	0	1.0995	0
metal1	2	15	96.07	56	0	0	0	1.09851	0
metal1	3	15	108.455	56	0	0	0	1.09831	0
metal1	4	15	109.295	56	0	0	0	1.09829	0
metal1	5	15	152.07	56	0	0	0	1.09758	0
metal1	6	15	208.07	56	0	0	0	1.0967	0
metal1	7	15	264.07	56	0	0	0	1.09581	0
metal1	8	15	320.07	56	0.000495644	0	0.000495644	1.09493	0
metal1	9	15	376.07	56	0.000518272	0	0.000518272	1.09412	0
metal1	10	15	432.07	56	0.00233621	0	0.00233621	1.09327	0
metal1	11	15	488.07	56	0.00243178	0	0.00243178	1.09273	0
metal1	12	15	544.07	56	0.00243178	0	0.00243178	1.09242	0
metal1	13	15	600.07	56	0.00243178	0	0.00243178	1.09233	0
metal1	14	15	656.07	56	0.00243178	0	0.00243178	1.09247	0
metal1	15	15	712.07	56	0.00243178	0	0.00243178	1.09283	0
metal1	16	15	768.07	56	0.00243178	0	0.00243178	1.09342	0
metal1	17	15	824.07	56	0.00243178	0	0.00243178	1.09423	0
metal1	18	15	880.07	56	0.00176293	0	0.00176293	1.09531	0
metal1	19	15	936.07	56	0	0	0	1.0966	0
metal1	20	15	992.07	56	0	0	0	1.09785	0
metal1	21	15	1048.07	56	0	0	0	1.09907	0
metal1	22	15	1086.21	56	0	0	0	1.09995	0
metal1	0	16	14.095	58.8	0	0	0	1.09999	0
metal1	1	16	40.07	58.8	0	0	0	1.09951	0
metal1	2	16	96.07	58.8	0	0	0	1.09851	0
metal1	3	16	108.455	58.8	0	0	0	1.0983	0
metal1	4	16	109.295	58.8	0	0	0	1.09829	0
metal1	5	16	152.07	58.8	0	0	0	1.09758	0
metal1	6	16	208.07	58.8	0	0	0	1.09669	0
