ix	iy	x_um	y_um	i_soft_A	i_hard_A	i_total_A	v_V
0	0	10	12	0	0	0	1.1
1	0	66	12	0	0	0	1.1
2	0	122	12	0	0	0	1.1
3	0	178	12	0	0	0	1.1
4	0	234	12	0	0	0	1.1
5	0	290	12	0.000831105	0	0.000831105	1.1
6	0	346	12	0.00149029	0	0.00149029	1.1
7	0	402	12	0.00388712	0	0.00388712	1.1
8	0	458	12	0.00458715	0	0.00458715	1.1
9	0	514	12	0.00458715	0	0.00458715	1.1
10	0	570	12	0.00458715	0	0.00458715	1.1
11	0	626	12	0.00458715	0	0.00458715	1.1
12	0	682	12	0.00458715	0	0.00458715	1.1
13	0	738	12	0.00458715	0	0.00458715	1.1
14	0	794	12	0.00458715	0	0.00458715	1.1
15	0	850	12	0.00458715	0	0.00458715	1.1
16	0	906	12	0.00143745	0	0.00143745	1.1
17	0	962	12	0	0	0	1.1
18	0	1018	12	0	0	0	1.1
19	0	1074	12	0	0	0	1.1
0	1	10	42	0	0	0	1.1
1	1	66	42	0	0.00141818	0.00141818	1.09991
2	1	122	42	0	0	0	1.09984
3	1	178	42	0	0.00141818	0.00141818	1.09977
4	1	234	42	0	0.00141818	0.00141818	1.09971
5	1	290	42	0.00128611	0	0.00128611	1.09964
6	1	346	42	0.0021517	0	0.0021517	1.09958
7	1	402	42	0.00546369	0	0.00546369	1.0995
8	1	458	42	0.00501846	0	0.00501846	1.09948
9	1	514	42	0.00501846	0	0.00501846	1.09946
10	1	570	42	0.00501846	0	0.00501846	1.09947
11	1	626	42	0.00501846	0	0.00501846	1.09948
12	1	682	42	0.00501846	0	0.00501846	1.09951
13	1	738	42	0.00501846	0	0.00501846	1.09954
14	1	794	42	0.00501846	0	0.00501846	1.09958
15	1	850	42	0.00501846	0	0.00501846	1.09964
16	1	906	42	0.00226395	0	0.00226395	1.09974
17	1	962	42	0	0.00141818	0.00141818	1.09984
18	1	1018	42	0	0.00141818	0.00141818	1.09992
19	1	1074	42	0	0	0	1.1
0	2	10	72	0	0	0	1.1
1	2	66	72	0	0	0	1.09983
2	2	122	72	0	0	0	1.09968
3	2	178	72	9.01401e-13	0	9.01401e-13	1.09954
4	2	234	72	0	0	0	1.09942
5	2	290	72	0.00128611	0	0.00128611	1.0993
6	2	346	72	0.0021517	0	0.0021517	1.09918
7	2	402	72	0.00546369	0	0.00546369	1.09905
8	2	458	72	0.00501846	0	0.00501846	1.09899
9	2	514	72	0.00501846	0	0.00501846	1.09897
10	2	570	72	0.00501846	0	0.00501846	1.09898
11	2	626	72	0.00501846	0	0.00501846	1.09901
12	2	682	72	0.00501846	0	0.00501846	1.09906
13	2	738	72	0.00501846	0	0.00501846	1.09912
14	2	794	72	0.00501846	0	0.00501846	1.09921
15	2	850	72	0.00501846	0	0.00501846	1.09932
16	2	906	72	0.00226395	0	0.00226395	1.09951
17	2	962	72	8.92857e-13	0	8.92857e-13	1.09969
18	2	1018	72	0	0	0	1.09985
19	2	1074	72	0	0	0	1.1
0	3	10	102	0	0	0	1.1
1	3	66	102	0	0	0	1.09974
2	3	122	102	0	0	0	1.09953
3	3	178	102	0	0	0	1.09932
4	3	234	102	0	0	0	1.09914
5	3	290	102	0.00128611	0	0.00128611	1.09896
6	3	346	102	0.0021517	0	0.0021517	1.0988
7	3	402	102	0.00546369	0	0.00546369	1.09862
8	3	458	102	0.00501846	0	0.00501846	1.09854
9	3	514	102	0.00501846	0	0.00501846	1.09851
10	3	570	102	0.00501846	0	0.00501846	1.09852
11	3	626	102	0.00501846	0	0.00501846	1.09856
12	3	682	102	0.00501846	0	0.00501846	1.09864
13	3	738	102	0.00501846	0	0.00501846	1.09874
14	3	794	102	0.00501846	0	0.00501846	1.09886
15	3	850	102	0.00501846	0	0.00501846	1.09903
16	3	906	102	0.00226395	0	0.00226395	1.09929
17	3	962	102	0	0	0	1.09954
18	3	1018	102	0	0	0	1.09977
19	3	1074	102	0	0	0	1.1
0	4	10	132	0	0	0	1.1
1	4	66	132	0	0.00168182	0.00168182	1.09966
2	4	122	132	0	0	0	1.09937
3	4	178	132	0	0.00168182	0.00168182	1.09909
4	4	234	132	0	0	0	1.09886
5	4	290	132	0.00128611	0	0.00128611	1.09864
6	4	346	132	0.0021517	0	0.0021517	1.09844
7	4	402	132	0.00546369	0	0.00546369	1.09823
8	4	458	132	0.00501846	0	0.00501846	1.09813
9	4	514	132	0.00501846	0	0.00501846	1.09808
10	4	570	132	0.00501846	0	0.00501846	1.0981
11	4	626	132	0.00501846	0	0.00501846	1.09816
12	4	682	132	0.00501846	0	0.00501846	1.09827
13	4	738	132	0.00501846	0	0.00501846	1.0984
14	4	794	132	0.00501846	0	0.00501846	1.09856
15	4	850	132	0.00501846	0	0.00501846	1.09877
16	4	906	132	0.00226395	0	0.00226395	1.09909
17	4	962	132	0	0.00141818	0.00141818	1.0994
18	4	1018	132	0	0.00141818	0.00141818	1.0997
19	4	1074	132	0	0	0	1.1
0	5	10	162	0	0	0	1.1
1	5	66	162	0	0	0	1.09958
2	5	122	162	0	0	0	1.09921
3	5	178	162	0.000593233	0	0.000593233	1.09886
4	5	234	162	0.00168938	0	0.00168938	1.09857
5	5	290	162	0.00234379	0	0.00234379	1.09832
6	5	346	162	0.00287867	0	0.00287867	1.09809
7	5	402	162	0.004922	0	0.004922	1.09788
8	5	458	162	0.00591624	0	0.00591624	1.09775
9	5	514	162	0.00647412	0	0.00647412	1.09769
10	5	570	162	0.00595122	0	0.00595122	1.09772
11	5	626	162	0.00630745	0	0.00630745	1.09779
12	5	682	162	0.00591814	0	0.00591814	1.09793
13	5	738	162	0.00521991	0	0.00521991	1.09809
14	5	794	162	0.00521991	0	0.00521991	1.09829
15	5	850	162	0.00521991	0	0.00521991	1.09854
16	5	906	162	0.00206276	0	0.00206276	1.0989
17	5	962	162	0.000892459	0	0.000892459	1.09927
18	5	1018	162	0	0	0	1.09964
19	5	1074	162	0	0	0	1.1
0	6	10	192	0	0	0	1.1
1	6	66	192	0	0	0	1.09949
2	6	122	192	0	0	0	1.09905
3	6	178	192	0.000772321	0	0.000772321	1.09864
4	6	234	192	0.00210852	0	0.00210852	1.0983
5	6	290	192	0.00210852	0	0.00210852	1.09801
6	6	346	192	0.00210852	0	0.00210852	1.09777
7	6	402	192	0.00210852	0	0.00210852	1.09756
8	6	458	192	0.00210852	0	0.00210852	1.09741
9	6	514	192	0.00293104	0	0.00293104	1.09734
10	6	570	192	0.002109	0	0.002109	1.09738
11	6	626	192	0.0026638	0	0.0026638	1.09747
12	6	682	192	0.00219242	0	0.00219242	1.09763
13	6	738	192	0.00210834	0	0.00210834	1.09782
14	6	794	192	0.00210834	0	0.00210834	1.09805
15	6	850	192	0.00210834	0	0.00210834	1.09835
16	6	906	192	0.00210834	0	0.00210834	1.09873
17	6	962	192	0.00194204	0	0.00194204	1.09915
18	6	1018	192	0	0	0	1.09958
19	6	1074	192	0	0	0	1.1
0	7	10	222	0	0	0	1.1
1	7	66	222	0	0.00168182	0.00168182	1.0994
2	7	122	222	0	0	0	1.09889
3	7	178	222	0.000466883	0.00168182	0.0021487	1.09842
4	7	234	222	0.00115078	0	0.00115078	1.09804
5	7	290	222	0.00115078	0	0.00115078	1.09772
6	7	346	222	0.00115078	0	0.00115078	1.09746
7	7	402	222	0.00115078	0	0.00115078	1.09724
8	7	458	222	0.00298143	0	0.00298143	1.09708
9	7	514	222	0.00419382	0	0.00419382	1.09701
10	7	570	222	0.00395025	0	0.00395025	1.09705
11	7	626	222	0.00408644	0	0.00408644	1.09716
12	7	682	222	0.00287121	0	0.00287121	1.09735
13	7	738	222	0.00251103	0	0.00251103	1.09757
14	7	794	222	0.00251103	0	0.00251103	1.09783
15	7	850	222	0.00264529	0	0.00264529	1.09816
16	7	906	222	0.00252038	0	0.00252038	1.09858
17	7	962	222	0.00229188	0	0.00229188	1.09904
18	7	1018	222	0	0.00141818	0.00141818	1.09952
19	7	1074	222	0	0	0	1.1
0	8	10	252	0	0	0	1.1
1	8	66	252	0	0	0	1.09932
2	8	122	252	0	0	0	1.09872
3	8	178	252	0.000226315	0	0.000226315	1.0982
4	8	234	252	0.000339058	0	0.000339058	1.09778
5	8	290	252	0.000339058	0	0.000339058	1.09744
6	8	346	252	0.000339058	0	0.000339058	1.09715
7	8	402	252	0.000339058	0	0.000339058	1.09694
8	8	458	252	0.00247075	0	0.00247075	1.09676
9	8	514	252	0.00356501	0	0.00356501	1.0967
10	8	570	252	0.00356501	0	0.00356501	1.09675
11	8	626	252	0.00356501	0	0.00356501	1.09687
12	8	682	252	0.00231497	0	0.00231497	1.09709
13	8	738	252	0.00204217	0	0.00204217	1.09733
14	8	794	252	0.00204217	0	0.00204217	1.09762
15	8	850	252	0.00280814	0	0.00280814	1.09798
16	8	906	252	0.00207865	0	0.00207865	1.09844
17	8	962	252	0.00191694	0	0.00191694	1.09894
18	8	1018	252	0	0	0	1.09948
19	8	1074	252	0	0	0	1.1
0	9	10	282	0	0	0	1.1
1	9	66	282	0	0	0	1.09923
2	9	122	282	0.0019663	0	0.0019663	1.09854
3	9	178	282	0.00205872	0	0.00205872	1.09798
4	9	234	282	0.00210485	0	0.00210485	1.09752
5	9	290	282	0.00210485	0	0.00210485	1.09714
6	9	346	282	0.00210485	0	0.00210485	1.09684
7	9	402	282	0.00210485	0	0.00210485	1.09663
8	9	458	282	0.00365803	0	0.00365803	1.09646
9	9	514	282	0.00356501	0	0.00356501	1.09641
10	9	570	282	0.00356501	0	0.00356501	1.09646
11	9	626	282	0.00356501	0	0.00356501	1.09661
12	9	682	282	0.00222833	0	0.00222833	1.09684
13	9	738	282	0.00269206	0	0.00269206	1.0971
14	9	794	282	0.00281364	0	0.00281364	1.09742
15	9	850	282	0.00318535	0	0.00318535	1.09781
16	9	906	282	0.00207865	0	0.00207865	1.09832
17	9	962	282	0.00191694	0	0.00191694	1.09886
18	9	1018	282	0	0	0	1.09944
19	9	1074	282	0	0	0	1.1
0	10	10	312	0	0	0	1.1
1	10	66	312	0	0.00141818	0.00141818	1.09912
2	10	122	312	0.00275763	0	0.00275763	1.09837
3	10	178	312	0.00290254	0	0.00290254	1.09776
4	10	234	312	0.00290254	0	0.00290254	1.09727
5	10	290	312	0.00290254	0	0.00290254	1.09686
6	10	346	312	0.00290254	0	0.00290254	1.09654
7	10	402	312	0.00290254	0	0.00290254	1.09633
8	10	458	312	0.00414566	0	0.00414566	1.09617
9	10	514	312	0.00356501	0	0.00356501	1.09613
10	10	570	312	0.00356501	0	0.00356501	1.0962
11	10	626	312	0.00356501	0	0.00356501	1.09636
12	10	682	312	0.00152877	0	0.00152877	1.09661
13	10	738	312	0.00234406	0	0.00234406	1.09689
14	10	794	312	0.00289165	0	0.00289165	1.09723
15	10	850	312	0.00321955	0	0.00321955	1.09766
16	10	906	312	0.00207865	0	0.00207865	1.09821
17	10	962	312	0.00191694	0	0.00191694	1.09879
18	10	1018	312	0	0.00141818	0.00141818	1.09939
19	10	1074	312	0	0	0	1.1
0	11	10	342	0.000704911	0	0.000704911	1.1
1	11	66	342	0.00106176	0	0.00106176	1.09902
2	11	122	342	0.00226708	0	0.00226708	1.09821
3	11	178	342	0.00214402	0	0.00214402	1.09756
4	11	234	342	0.00214402	0	0.00214402	1.09703
5	11	290	342	0.00214402	0	0.00214402	1.0966
6	11	346	342	0.00214402	0	0.00214402	1.09625
7	11	402	342	0.00214402	0	0.00214402	1.09605
8	11	458	342	0.00370615	0	0.00370615	1.0959
9	11	514	342	0.00356501	0	0.00356501	1.09587
10	11	570	342	0.00356501	0	0.00356501	1.09596
11	11	626	342	0.00356501	0	0.00356501	1.09613
12	11	682	342	0.00200062	0	0.00200062	1.0964
13	11	738	342	0.00266597	0	0.00266597	1.09669
14	11	794	342	0.00215703	0	0.00215703	1.09706
15	11	850	342	0.00331407	0	0.00331407	1.09752
16	11	906	342	0.00190387	0	0.00190387	1.09811
17	11	962	342	0.00129146	0	0.00129146	1.09873
18	11	1018	342	0.000319428	0	0.000319428	1.09936
19	11	1074	342	0.000533408	0	0.000533408	1.1
0	12	10	372	0.00139729	0	0.00139729	1.1
1	12	66	372	0.00395739	0	0.00395739	1.09891
2	12	122	372	0.00347149	0	0.00347149	1.09805
3	12	178	372	0.00330589	0	0.00330589	1.09736
4	12	234	372	0.00330589	0	0.00330589	1.0968
5	12	290	372	0.00330589	0	0.00330589	1.09634
6	12	346	372	0.00331026	0	0.00331026	1.09597
7	12	402	372	0.00178655	0	0.00178655	1.09578
8	12	458	372	0.00300371	0	0.00300371	1.09565
9	12	514	372	0.0038969	0	0.0038969	1.09563
10	12	570	372	0.00467477	0	0.00467477	1.09573
11	12	626	372	0.00451867	0	0.00451867	1.09592
12	12	682	372	0.0035001	0	0.0035001	1.09619
13	12	738	372	0.00403488	0	0.00403488	1.0965
14	12	794	372	0.00366156	0	0.00366156	1.0969
15	12	850	372	0.00346036	0	0.00346036	1.0974
16	12	906	372	0.00115607	0	0.00115607	1.09803
17	12	962	372	0.000547042	0	0.000547042	1.09868
18	12	1018	372	0.000436762	0	0.000436762	1.09933
19	12	1074	372	0.000574178	0	0.000574178	1.1
0	13	10	402	0.00170493	0	0.00170493	1.1
1	13	66	402	0.00584149	0	0.00584149	1.09881
2	13	122	402	0.00547786	0	0.00547786	1.0979
3	13	178	402	0.00547786	0	0.00547786	1.09717
4	13	234	402	0.00547786	0	0.00547786	1.09658
5	13	290	402	0.00547786	0	0.00547786	1.0961
6	13	346	402	0.00889476	0	0.00889476	1.09569
7	13	402	402	0.00603742	0	0.00603742	1.09552
8	13	458	402	0.00603742	0	0.00603742	1.09541
9	13	514	402	0.0057331	0	0.0057331	1.09541
10	13	570	402	0.00386561	0	0.00386561	1.09554
11	13	626	402	0.00342361	0	0.00342361	1.09574
12	13	682	402	0.00342361	0	0.00342361	1.09601
13	13	738	402	0.00342361	0	0.00342361	1.09634
14	13	794	402	0.00342361	0	0.00342361	1.09675
15	13	850	402	0.0034408	0	0.0034408	1.09729
16	13	906	402	0.00115607	0	0.00115607	1.09796
17	13	962	402	0.000547042	0	0.000547042	1.09863
18	13	1018	402	0.000436762	0	0.000436762	1.09931
19	13	1074	402	0.000574178	0	0.000574178	1.1
0	14	10	432	0.00170493	0	0.00170493	1.1
1	14	66	432	0.00584149	0	0.00584149	1.09873
2	14	122	432	0.00547786	0	0.00547786	1.09777
3	14	178	432	0.00547786	0	0.00547786	1.09701
4	14	234	432	0.00547786	0	0.00547786	1.0964
5	14	290	432	0.00547786	0	0.00547786	1.0959
6	14	346	432	0.00889476	0	0.00889476	1.09546
7	14	402	432	0.00603742	0	0.00603742	1.0953
8	14	458	432	0.00603742	0	0.00603742	1.09521
9	14	514	432	0.0057331	0	0.0057331	1.09522
10	14	570	432	0.00386561	0	0.00386561	1.09537
11	14	626	432	0.00342361	0	0.00342361	1.09558
12	14	682	432	0.00342361	0	0.00342361	1.09585
13	14	738	432	0.00342361	0	0.00342361	1.09619
14	14	794	432	0.00342361	0	0.00342361	1.09663
15	14	850	432	0.0034408	0	0.0034408	1.09719
16	14	906	432	0.00115607	0	0.00115607	1.09789
17	14	962	432	0.000547042	0	0.000547042	1.09859
18	14	1018	432	0.000436762	0	0.000436762	1.09928
19	14	1074	432	0.000574178	0	0.000574178	1.1
0	15	10	462	0.00170493	0	0.00170493	1.1
1	15	66	462	0.00584149	0	0.00584149	1.09867
2	15	122	462	0.00547786	0	0.00547786	1.09767
3	15	178	462	0.00547786	0	0.00547786	1.09688
4	15	234	462	0.00547786	0	0.00547786	1.09625
5	15	290	462	0.00547786	0	0.00547786	1.09573
6	15	346	462	0.00889476	0	0.00889476	1.09528
7	15	402	462	0.00603742	0	0.00603742	1.09512
8	15	458	462	0.00603742	0	0.00603742	1.09504
9	15	514	462	0.00616007	0	0.00616007	1.09507
10	15	570	462	0.00403702	0	0.00403702	1.09522
11	15	626	462	0.00342361	0	0.00342361	1.09544
12	15	682	462	0.00342361	0	0.00342361	1.09571
13	15	738	462	0.00342361	0	0.00342361	1.09606
14	15	794	462	0.00342361	0	0.00342361	1.09652
15	15	850	462	0.00322244	0	0.00322244	1.09711
16	15	906	462	0.00137016	0	0.00137016	1.09784
17	15	962	462	0.00100171	0	0.00100171	1.09855
18	15	1018	462	0.000925513	0	0.000925513	1.09926
19	15	1074	462	0.000574178	0	0.000574178	1.1
0	16	10	492	0.00170493	0	0.00170493	1.1
1	16	66	492	0.00584149	0	0.00584149	1.09863
2	16	122	492	0.00547786	0	0.00547786	1.09759
3	16	178	492	0.00547786	0	0.00547786	1.09679
4	16	234	492	0.00547786	0	0.00547786	1.09614
5	16	290	492	0.00547786	0	0.00547786	1.0956
6	16	346	492	0.00889476	0	0.00889476	1.09514
7	16	402	492	0.00603742	0	0.00603742	1.09499
8	16	458	492	0.00603742	0	0.00603742	1.09492
9	16	514	492	0.00577993	0	0.00577993	1.09495
10	16	570	492	0.00387299	0	0.00387299	1.0951
11	16	626	492	0.00342361	0	0.00342361	1.09532
12	16	682	492	0.00342361	0	0.00342361	1.0956
13	16	738	492	0.00342361	0	0.00342361	1.09595
14	16	794	492	0.00342361	0	0.00342361	1.09642
15	16	850	492	0.00233698	0	0.00233698	1.09704
16	16	906	492	0.000564854	0	0.000564854	1.09779
17	16	962	492	0.000564854	0	0.000564854	1.09852
18	16	1018	492	0.000982328	0	0.000982328	1.09924
19	16	1074	492	0.000574178	0	0.000574178	1.1
0	17	10	522	0.00170493	0	0.00170493	1.1
1	17	66	522	0.00584149	0	0.00584149	1.09859
2	17	122	522	0.00547786	0	0.00547786	1.09754
3	17	178	522	0.00547786	0	0.00547786	1.09671
4	17	234	522	0.00547786	0	0.00547786	1.09606
5	17	290	522	0.00547786	0	0.00547786	1.09551
6	17	346	522	0.00889476	0	0.00889476	1.09504
7	17	402	522	0.00603742	0	0.00603742	1.09489
8	17	458	522	0.00603742	0	0.00603742	1.09483
9	17	514	522	0.00577993	0	0.00577993	1.09487
