u	v	kind	g
43	41	wire	61.8907
41	2	wire	188.404
2	39	wire	92.1678
39	37	wire	61.8907
37	35	wire	61.8907
35	0	wire	188.404
0	33	wire	92.1678
55	53	wire	61.8907
53	6	wire	188.404
6	51	wire	92.1678
51	49	wire	61.8907
49	47	wire	61.8907
47	4	wire	188.404
4	45	wire	92.1678
67	65	wire	61.8907
65	10	wire	188.404
10	63	wire	92.1678
63	61	wire	61.8907
61	59	wire	61.8907
59	8	wire	188.404
8	57	wire	92.1678
79	77	wire	61.8907
77	14	wire	188.404
14	75	wire	92.1678
75	73	wire	61.8907
73	71	wire	61.8907
71	12	wire	188.404
12	69	wire	92.1678
91	89	wire	61.8907
89	18	wire	188.404
18	87	wire	92.1678
87	85	wire	61.8907
85	83	wire	61.8907
83	16	wire	188.404
16	81	wire	92.1678
103	101	wire	61.8907
101	22	wire	188.404
22	99	wire	92.1678
99	97	wire	61.8907
97	95	wire	61.8907
95	20	wire	188.404
20	93	wire	92.1678
115	113	wire	61.8907
113	26	wire	188.404
26	111	wire	92.1678
111	109	wire	61.8907
109	107	wire	61.8907
107	24	wire	188.404
24	105	wire	92.1678
127	125	wire	61.8907
125	30	wire	188.404
30	123	wire	92.1678
123	121	wire	61.8907
121	119	wire	61.8907
119	28	wire	188.404
28	117	wire	92.1678
309	116	wire	465.589
116	297	wire	198.691
297	285	wire	139.261
285	104	wire	262.138
104	273	wire	297.09
273	261	wire	139.261
261	92	wire	182.424
92	249	wire	588.574
249	237	wire	139.261
237	80	wire	139.885
80	225	wire	31194.4
225	213	wire	139.261
213	201	wire	139.261
201	68	wire	611.656
68	189	wire	180.315
189	177	wire	139.261
177	56	wire	302.859
56	165	wire	257.805
165	153	wire	139.261
153	44	wire	201.254
44	141	wire	452.093
141	129	wire	139.261
129	32	wire	150.698
311	118	wire	465.589
118	299	wire	198.691
299	287	wire	139.261
287	106	wire	262.138
106	275	wire	297.09
275	263	wire	139.261
263	94	wire	182.424
94	251	wire	588.574
251	239	wire	139.261
239	82	wire	139.885
82	227	wire	31194.4
227	215	wire	139.261
215	203	wire	139.261
203	70	wire	611.656
70	191	wire	180.315
191	179	wire	139.261
179	58	wire	302.859
58	167	wire	257.805
167	155	wire	139.261
155	46	wire	201.254
46	143	wire	452.093
143	131	wire	139.261
131	34	wire	150.698
313	120	wire	465.589
120	301	wire	198.691
301	289	wire	139.261
289	108	wire	262.138
108	277	wire	297.09
277	265	wire	139.261
265	96	wire	182.424
96	253	wire	588.574
253	241	wire	139.261
241	84	wire	139.885
84	229	wire	31194.4
229	217	wire	139.261
217	205	wire	139.261
205	72	wire	611.656
72	193	wire	180.315
193	181	wire	139.261
181	60	wire	302.859
60	169	wire	257.805
169	157	wire	139.261
157	48	wire	201.254
48	145	wire	452.093
145	133	wire	139.261
133	36	wire	150.698
315	122	wire	465.589
122	303	wire	198.691
303	291	wire	139.261
291	110	wire	262.138
110	279	wire	297.09
279	267	wire	139.261
267	98	wire	182.424
98	255	wire	588.574
255	243	wire	139.261
243	86	wire	139.885
86	231	wire	31194.4
231	219	wire	139.261
219	207	wire	139.261
207	74	wire	611.656
74	195	wire	180.315
195	183	wire	139.261
183	62	wire	302.859
62	171	wire	257.805
171	159	wire	139.261
159	50	wire	201.254
50	147	wire	452.093
147	135	wire	139.261
135	38	wire	150.698
317	124	wire	465.589
124	305	wire	198.691
305	293	wire	139.261
293	112	wire	262.138
112	281	wire	297.09
281	269	wire	139.261
269	100	wire	182.424
100	257	wire	588.574
257	245	wire	139.261
245	88	wire	139.885
88	233	wire	31194.4
233	221	wire	139.261
221	209	wire	139.261
209	76	wire	611.656
76	197	wire	180.315
197	185	wire	139.261
185	64	wire	302.859
64	173	wire	257.805
173	161	wire	139.261
161	52	wire	201.254
52	149	wire	452.093
149	137	wire	139.261
137	40	wire	150.698
319	126	wire	465.589
126	307	wire	198.691
307	295	wire	139.261
295	114	wire	262.138
114	283	wire	297.09
283	271	wire	139.261
271	102	wire	182.424
102	259	wire	588.574
259	247	wire	139.261
247	90	wire	139.885
90	235	wire	31194.4
235	223	wire	139.261
223	211	wire	139.261
211	78	wire	611.656
78	199	wire	180.315
199	187	wire	139.261
187	66	wire	302.859
66	175	wire	257.805
175	163	wire	139.261
163	54	wire	201.254
54	151	wire	452.093
151	139	wire	139.261
139	42	wire	150.698
363	361	wire	61.8907
361	322	wire	188.404
322	359	wire	92.1678
359	357	wire	61.8907
357	355	wire	61.8907
355	320	wire	188.404
320	353	wire	92.1678
375	373	wire	61.8907
373	326	wire	188.404
326	371	wire	92.1678
371	369	wire	61.8907
369	367	wire	61.8907
367	324	wire	188.404
324	365	wire	92.1678
387	385	wire	61.8907
385	330	wire	188.404
330	383	wire	92.1678
383	381	wire	61.8907
381	379	wire	61.8907
379	328	wire	188.404
328	377	wire	92.1678
399	397	wire	61.8907
397	334	wire	188.404
334	395	wire	92.1678
395	393	wire	61.8907
393	391	wire	61.8907
391	332	wire	188.404
332	389	wire	92.1678
411	409	wire	61.8907
409	338	wire	188.404
338	407	wire	92.1678
407	405	wire	61.8907
405	403	wire	61.8907
403	336	wire	188.404
336	401	wire	92.1678
423	421	wire	61.8907
421	342	wire	188.404
342	419	wire	92.1678
419	417	wire	61.8907
417	415	wire	61.8907
415	340	wire	188.404
340	413	wire	92.1678
435	433	wire	61.8907
433	346	wire	188.404
346	431	wire	92.1678
431	429	wire	61.8907
429	427	wire	61.8907
427	344	wire	188.404
344	425	wire	92.1678
447	445	wire	61.8907
445	350	wire	188.404
350	443	wire	92.1678
443	441	wire	61.8907
441	439	wire	61.8907
439	348	wire	188.404
348	437	wire	92.1678
629	436	wire	465.589
436	617	wire	198.691
617	605	wire	139.261
605	424	wire	262.138
424	593	wire	297.09
593	581	wire	139.261
581	412	wire	182.424
412	569	wire	588.574
569	557	wire	139.261
557	400	wire	139.885
400	545	wire	31194.4
545	533	wire	139.261
533	521	wire	139.261
521	388	wire	611.656
388	509	wire	180.315
509	497	wire	139.261
497	376	wire	302.859
376	485	wire	257.805
485	473	wire	139.261
473	364	wire	201.254
364	461	wire	452.093
461	449	wire	139.261
449	352	wire	150.698
631	438	wire	465.589
438	619	wire	198.691
619	607	wire	139.261
607	426	wire	262.138
426	595	wire	297.09
595	583	wire	139.261
583	414	wire	182.424
414	571	wire	588.574
571	559	wire	139.261
559	402	wire	139.885
402	547	wire	31194.4
547	535	wire	139.261
535	523	wire	139.261
523	390	wire	611.656
390	511	wire	180.315
511	499	wire	139.261
