id	layer_idx	layer_name	x_um	y_um	v_v	fixed	i_load_a
0	1	metal6	194.97	239.6	1.09953	0	0
1	2	metal7	194.97	239.6	1.09953	0	0
2	1	metal6	194.97	209.6	1.09953	0	0
3	2	metal7	194.97	209.6	1.09954	0	0
4	1	metal6	184.97	239.6	1.09953	0	0
5	2	metal7	184.97	239.6	1.09953	0	0
6	1	metal6	184.97	209.6	1.09953	0	0
7	2	metal7	184.97	209.6	1.09954	0	0
8	1	metal6	174.97	239.6	1.09953	0	0
9	2	metal7	174.97	239.6	1.09953	0	0
10	1	metal6	174.97	209.6	1.09953	0	0
11	2	metal7	174.97	209.6	1.09954	0	0
12	1	metal6	164.97	239.6	1.09952	0	0
13	2	metal7	164.97	239.6	1.09953	0	0
14	1	metal6	164.97	209.6	1.09953	0	0
15	2	metal7	164.97	209.6	1.09953	0	0
16	1	metal6	154.97	239.6	1.09952	0	0
17	2	metal7	154.97	239.6	1.09953	0	0
18	1	metal6	154.97	209.6	1.09952	0	0
19	2	metal7	154.97	209.6	1.09953	0	0
20	1	metal6	144.97	239.6	1.09952	0	0
21	2	metal7	144.97	239.6	1.09952	0	0
22	1	metal6	144.97	209.6	1.09952	0	0
23	2	metal7	144.97	209.6	1.09953	0	0
24	1	metal6	134.97	239.6	1.09952	0	0
25	2	metal7	134.97	239.6	1.09952	0	0
26	1	metal6	134.97	209.6	1.09952	0	0
27	2	metal7	134.97	209.6	1.09953	0	0
28	1	metal6	124.97	239.6	1.09952	0	0
29	2	metal7	124.97	239.6	1.09952	0	0
30	1	metal6	124.97	209.6	1.09952	0	0
31	2	metal7	124.97	209.6	1.09952	0	0
32	0	metal5	194.97	246.315	1.09953	0	0
33	1	metal6	194.97	246.315	1.09953	0	0
34	0	metal5	194.97	236.315	1.09952	0	0
35	1	metal6	194.97	236.315	1.09953	0	0
36	0	metal5	194.97	226.315	1.09953	0	0
37	1	metal6	194.97	226.315	1.09953	0	0
38	0	metal5	194.97	216.315	1.09953	0	0
39	1	metal6	194.97	216.315	1.09953	0	0
40	0	metal5	194.97	206.315	1.09953	0	0
41	1	metal6	194.97	206.315	1.09953	0	0
42	0	metal5	194.97	196.315	1.09953	0	0
43	1	metal6	194.97	196.315	1.09953	0	0
44	0	metal5	184.97	246.315	1.09953	0	0
45	1	metal6	184.97	246.315	1.09953	0	0
46	0	metal5	184.97	236.315	1.09952	0	0
47	1	metal6	184.97	236.315	1.09953	0	0
48	0	metal5	184.97	226.315	1.09953	0	0
49	1	metal6	184.97	226.315	1.09953	0	0
50	0	metal5	184.97	216.315	1.09953	0	0
51	1	metal6	184.97	216.315	1.09953	0	0
52	0	metal5	184.97	206.315	1.09953	0	0
53	1	metal6	184.97	206.315	1.09953	0	0
54	0	metal5	184.97	196.315	1.09953	0	0
55	1	metal6	184.97	196.315	1.09953	0	0
56	0	metal5	174.97	246.315	1.09953	0	0
57	1	metal6	174.97	246.315	1.09953	0	0
58	0	metal5	174.97	236.315	1.09952	0	0
59	1	metal6	174.97	236.315	1.09953	0	0
60	0	metal5	174.97	226.315	1.09953	0	0
61	1	metal6	174.97	226.315	1.09953	0	0
62	0	metal5	174.97	216.315	1.09952	0	0
63	1	metal6	174.97	216.315	1.09953	0	0
64	0	metal5	174.97	206.315	1.09953	0	0
65	1	metal6	174.97	206.315	1.09953	0	0
66	0	metal5	174.97	196.315	1.09953	0	0
67	1	metal6	174.97	196.315	1.09953	0	0
68	0	metal5	164.97	246.315	1.09952	0	0
69	1	metal6	164.97	246.315	1.09952	0	0
70	0	metal5	164.97	236.315	1.09952	0	0
71	1	metal6	164.97	236.315	1.09952	0	0
72	0	metal5	164.97	226.315	1.09952	0	0
73	1	metal6	164.97	226.315	1.09952	0	0
74	0	metal5	164.97	216.315	1.09952	0	0
75	1	metal6	164.97	216.315	1.09952	0	0
76	0	metal5	164.97	206.315	1.09953	0	0
77	1	metal6	164.97	206.315	1.09953	0	0
78	0	metal5	164.97	196.315	1.09953	0	0
79	1	metal6	164.97	196.315	1.09953	0	0
80	0	metal5	154.97	246.315	1.09952	0	0
81	1	metal6	154.97	246.315	1.09952	0	0
82	0	metal5	154.97	236.315	1.09952	0	0
83	1	metal6	154.97	236.315	1.09952	0	0
84	0	metal5	154.97	226.315	1.09952	0	0
85	1	metal6	154.97	226.315	1.09952	0	0
86	0	metal5	154.97	216.315	1.0995	0	0
87	1	metal6	154.97	216.315	1.09952	0	0
88	0	metal5	154.97	206.315	1.09952	0	0
89	1	metal6	154.97	206.315	1.09952	0	0
90	0	metal5	154.97	196.315	1.09952	0	0
91	1	metal6	154.97	196.315	1.09952	0	0
92	0	metal5	144.97	246.315	1.09952	0	0
93	1	metal6	144.97	246.315	1.09952	0	0
94	0	metal5	144.97	236.315	1.09952	0	0
95	1	metal6	144.97	236.315	1.09952	0	0
96	0	metal5	144.97	226.315	1.09952	0	0
97	1	metal6	144.97	226.315	1.09952	0	0
98	0	metal5	144.97	216.315	1.09951	0	0
99	1	metal6	144.97	216.315	1.09952	0	0
100	0	metal5	144.97	206.315	1.09952	0	0
101	1	metal6	144.97	206.315	1.09952	0	0
102	0	metal5	144.97	196.315	1.09952	0	0
103	1	metal6	144.97	196.315	1.09952	0	0
104	0	metal5	134.97	246.315	1.09952	0	0
105	1	metal6	134.97	246.315	1.09952	0	0
106	0	metal5	134.97	236.315	1.09952	0	0
107	1	metal6	134.97	236.315	1.09952	0	0
108	0	metal5	134.97	226.315	1.09952	0	0
109	1	metal6	134.97	226.315	1.09952	0	0
110	0	metal5	134.97	216.315	1.09952	0	0
111	1	metal6	134.97	216.315	1.09952	0	0
112	0	metal5	134.97	206.315	1.09952	0	0
113	1	metal6	134.97	206.315	1.09952	0	0
114	0	metal5	134.97	196.315	1.09952	0	0
115	1	metal6	134.97	196.315	1.09952	0	0
116	0	metal5	124.97	246.315	1.09952	0	0
117	1	metal6	124.97	246.315	1.09952	0	0
118	0	metal5	124.97	236.315	1.09952	0	0
119	1	metal6	124.97	236.315	1.09952	0	0
120	0	metal5	124.97	226.315	1.09952	0	0
121	1	metal6	124.97	226.315	1.09952	0	0
