kind	layer	xlo_um	ylo_um	xhi_um	yhi_um
STRIPE	metal6	194.505	195.85	195.435	246.78
STRIPE	metal6	184.505	195.85	185.435	246.78
STRIPE	metal6	174.505	195.85	175.435	246.78
STRIPE	metal6	164.505	195.85	165.435	246.78
STRIPE	metal6	154.505	195.85	155.435	246.78
STRIPE	metal6	144.505	195.85	145.435	246.78
STRIPE	metal6	134.505	195.85	135.435	246.78
STRIPE	metal6	124.505	195.85	125.435	246.78
STRIPE	metal5	123.49	245.85	195.435	246.78
STRIPE	metal5	123.49	235.85	195.435	236.78
STRIPE	metal5	123.49	225.85	195.435	226.78
STRIPE	metal5	123.49	215.85	195.435	216.78
STRIPE	metal5	123.49	205.85	195.435	206.78
STRIPE	metal5	123.49	195.85	195.435	196.78
STRIPE	metal6	96.605	195.85	97.535	246.78
STRIPE	metal6	86.605	195.85	87.535	246.78
STRIPE	metal6	76.605	195.85	77.535	246.78
STRIPE	metal6	66.605	195.85	67.535	246.78
STRIPE	metal6	56.605	195.85	57.535	246.78
STRIPE	metal6	46.605	195.85	47.535	246.78
STRIPE	metal6	36.605	195.85	37.535	246.78
STRIPE	metal6	26.605	195.85	27.535	246.78
STRIPE	metal5	25.59	245.85	97.535	246.78
STRIPE	metal5	25.59	235.85	97.535	236.78
STRIPE	metal5	25.59	225.85	97.535	226.78
STRIPE	metal5	25.59	215.85	97.535	216.78
STRIPE	metal5	25.59	205.85	97.535	206.78
STRIPE	metal5	25.59	195.85	97.535	196.78
STRIPE	metal6	96.605	113.67	97.535	164.6
STRIPE	metal6	86.605	113.67	87.535	164.6
STRIPE	metal6	76.605	113.67	77.535	164.6
STRIPE	metal6	66.605	113.67	67.535	164.6
STRIPE	metal6	56.605	113.67	57.535	164.6
STRIPE	metal6	46.605	113.67	47.535	164.6
STRIPE	metal6	36.605	113.67	37.535	164.6
STRIPE	metal6	26.605	113.67	27.535	164.6
STRIPE	metal5	25.59	163.67	97.535	164.6
STRIPE	metal5	25.59	153.67	97.535	154.6
STRIPE	metal5	25.59	143.67	97.535	144.6
STRIPE	metal5	25.59	133.67	97.535	134.6
STRIPE	metal5	25.59	123.67	97.535	124.6
STRIPE	metal5	25.59	113.67	97.535	114.6
STRIPE	metal6	194.505	113.67	195.435	164.6
STRIPE	metal6	184.505	113.67	185.435	164.6
STRIPE	metal6	174.505	113.67	175.435	164.6
STRIPE	metal6	164.505	113.67	165.435	164.6
STRIPE	metal6	154.505	113.67	155.435	164.6
STRIPE	metal6	144.505	113.67	145.435	164.6
STRIPE	metal6	134.505	113.67	135.435	164.6
STRIPE	metal6	124.505	113.67	125.435	164.6
STRIPE	metal5	123.49	163.67	195.435	164.6
STRIPE	metal5	123.49	153.67	195.435	154.6
STRIPE	metal5	123.49	143.67	195.435	144.6
STRIPE	metal5	123.49	133.67	195.435	134.6
STRIPE	metal5	123.49	123.67	195.435	124.6
STRIPE	metal5	123.49	113.67	195.435	114.6
STRIPE	metal6	979.055	113.67	979.985	164.6
STRIPE	metal6	969.055	113.67	969.985	164.6
STRIPE	metal6	959.055	113.67	959.985	164.6
STRIPE	metal6	949.055	113.67	949.985	164.6
STRIPE	metal6	939.055	113.67	939.985	164.6
STRIPE	metal6	929.055	113.67	929.985	164.6
STRIPE	metal6	919.055	113.67	919.985	164.6
STRIPE	metal6	909.055	113.67	909.985	164.6
STRIPE	metal5	907.42	163.67	979.985	164.6
STRIPE	metal5	907.42	153.67	979.985	154.6
STRIPE	metal5	907.42	143.67	979.985	144.6
STRIPE	metal5	907.42	133.67	979.985	134.6
STRIPE	metal5	907.42	123.67	979.985	124.6
STRIPE	metal5	907.42	113.67	979.985	114.6
STRIPE	metal6	979.055	1018.9	979.985	1080.3
STRIPE	metal6	969.055	1018.9	969.985	1080.3
STRIPE	metal6	959.055	1018.9	959.985	1080.3
STRIPE	metal6	949.055	1018.9	949.985	1080.3
STRIPE	metal6	939.055	1018.9	939.985	1080.3
STRIPE	metal6	929.055	1018.9	929.985	1080.3
STRIPE	metal6	919.055	1018.9	919.985	1080.3
STRIPE	metal6	909.055	1018.9	909.985	1080.3
STRIPE	metal5	907.42	1071.36	979.985	1072.29
STRIPE	metal5	907.42	1061.36	979.985	1062.29
STRIPE	metal5	907.42	1051.36	979.985	1052.29
STRIPE	metal5	907.42	1041.36	979.985	1042.29
STRIPE	metal5	907.42	1031.36	979.985	1032.29
STRIPE	metal5	907.42	1021.36	979.985	1022.29
STRIPE	metal6	96.605	278.03	97.535	330.3
STRIPE	metal6	86.605	278.03	87.535	330.3
STRIPE	metal6	76.605	278.03	77.535	330.3
STRIPE	metal6	66.605	278.03	67.535	330.3
STRIPE	metal6	56.605	278.03	57.535	330.3
STRIPE	metal6	46.605	278.03	47.535	330.3
STRIPE	metal6	36.605	278.03	37.535	330.3
STRIPE	metal6	26.605	278.03	27.535	330.3
STRIPE	metal5	26.35	328.03	97.535	328.96
STRIPE	metal5	26.35	318.03	97.535	318.96
STRIPE	metal5	26.35	308.03	97.535	308.96
STRIPE	metal5	26.35	298.03	97.535	298.96
STRIPE	metal5	26.35	288.03	97.535	288.96
STRIPE	metal5	26.35	278.03	97.535	278.96
STRIPE	metal6	1077.71	1018.9	1078.64	1080.3
