cluster_id	cluster_name	instance_count	i_observed_A	i_worst_box_A	i_mesh_sum_A	vmin_tile_V
38	gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache||gen_tiles\[0\].i_tile/i_tile/i_snitch_cache_axi_adapter||gen_tiles\[0\].i_tile/i_tile/i_axi_mux||gen_tiles\[0\].i_tile/i_tile/i_snitch_core_axi_adapter||gen_tiles\[0\].i_tile/i_tile/i_snitch_demux_data	39568	0.0281471	0.0281471	2.03988	1.0889
21	gen_tiles\[0\].i_tile/i_tile/i_local_req_interco	10640	0.0111858	0.0111858	0.148927	1.09115
37	gen_tiles\[0\].i_tile/i_tile/gen_cores\[0\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].i_address_scrambler	17662	0.010216	0.010216	1.78479	1.08594
34	gen_tiles\[0\].i_tile/i_tile/gen_cores\[3\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].i_address_scrambler	17663	0.00940201	0.00940201	2.11318	1.0853
35	gen_tiles\[0\].i_tile/i_tile/gen_cores\[2\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].i_address_scrambler	17744	0.00905664	0.00905664	1.01358	1.08668
20	gen_tiles\[0\].i_tile/i_tile/i_local_resp_interco	10492	0.00900437	0.00900437	0.132695	1.09394
36	gen_tiles\[0\].i_tile/i_tile/gen_cores\[1\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].i_address_scrambler	17787	0.00884348	0.00884348	1.08678	1.08978
71	gen_tiles\[0\].i_tile/i_tile/axi_mst_slice	2270	0.00323774	0.00323774	0.0320365	1.09179
42	gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].i_tcdm_adapter	1399	0.00228598	0.00228598	0.0195992	1.09534
54	gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].i_tcdm_adapter	1399	0.00228177	0.00228177	0.0220423	1.09008
50	gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].i_tcdm_adapter	1399	0.00228073	0.00228073	0.0628411	1.09277
48	gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].i_tcdm_adapter	1399	0.00227375	0.00227375	0.0578045	1.09458
52	gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].i_tcdm_adapter	1399	0.00227311	0.00227311	0.0188167	1.09558
18	gen_tiles\[0\].i_tile/i_tile/i_remote_resp_interco	960	0.00225091	0.00225091	0.101646	1.09858
46	gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].i_tcdm_adapter	1399	0.00223818	0.00223818	0.0227935	1.09533
68	gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].i_tcdm_adapter	1399	0.00223818	0.00223818	0.0595466	1.09338
64	gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].i_tcdm_adapter	1399	0.002238	0.002238	0.0620596	1.09421
70	gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].i_tcdm_adapter	1399	0.0022378	0.0022378	0.0196858	1.09315
44	gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].i_tcdm_adapter	1399	0.00220693	0.00220693	0.0575041	1.0951
66	gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].i_tcdm_adapter	1399	0.00220671	0.00220671	0.0219917	1.09501
60	gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].i_tcdm_adapter	1399	0.0022067	0.0022067	0.0489874	1.09649
62	gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].i_tcdm_adapter	1399	0.00220556	0.00220556	0.0673345	1.09247
