cluster_id	cluster_name	instance_count	i_observed_A	i_worst_box_A	i_mesh_sum_A	vmin_tile_V
38	gen_tiles\[0\].i_tile/i_tile/gen_caches\[0\].i_snitch_icache||gen_tiles\[0\].i_tile/i_tile/i_snitch_cache_axi_adapter||gen_tiles\[0\].i_tile/i_tile/i_axi_mux||gen_tiles\[0\].i_tile/i_tile/i_snitch_core_axi_adapter||gen_tiles\[0\].i_tile/i_tile/i_snitch_demux_data	39568	0.0281471	0.0281471	0.554652	1.0948
21	gen_tiles\[0\].i_tile/i_tile/i_local_req_interco	10640	0.0111858	0.0111858	0.0935565	1.09495
37	gen_tiles\[0\].i_tile/i_tile/gen_cores\[0\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[0\].i_address_scrambler	17662	0.010216	0.010216	0.487271	1.09451
34	gen_tiles\[0\].i_tile/i_tile/gen_cores\[3\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[3\].i_address_scrambler	17663	0.00940201	0.00940201	0.435426	1.09528
35	gen_tiles\[0\].i_tile/i_tile/gen_cores\[2\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[2\].i_address_scrambler	17744	0.00905664	0.00905664	0.256711	1.09474
20	gen_tiles\[0\].i_tile/i_tile/i_local_resp_interco	10492	0.00900437	0.00900437	0.0718787	1.09553
36	gen_tiles\[0\].i_tile/i_tile/gen_cores\[1\].gen_mempool_cc.riscv_core||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].gen_tcdm_shim.i_tcdm_shim||gen_tiles\[0\].i_tile/i_tile/gen_core_mux\[1\].i_address_scrambler	17787	0.00884348	0.00884348	0.261683	1.09752
71	gen_tiles\[0\].i_tile/i_tile/axi_mst_slice	2270	0.00323774	0.00323774	0.0285892	1.09685
42	gen_tiles\[0\].i_tile/i_tile/gen_banks\[8\].i_tcdm_adapter	1399	0.00228598	0.00228598	0.0104923	1.09646
54	gen_tiles\[0\].i_tile/i_tile/gen_banks\[2\].i_tcdm_adapter	1399	0.00228177	0.00228177	0.00988386	1.09475
50	gen_tiles\[0\].i_tile/i_tile/gen_banks\[4\].i_tcdm_adapter	1399	0.00228073	0.00228073	0.027874	1.09784
48	gen_tiles\[0\].i_tile/i_tile/gen_banks\[5\].i_tcdm_adapter	1399	0.00227375	0.00227375	0.0267914	1.09563
52	gen_tiles\[0\].i_tile/i_tile/gen_banks\[3\].i_tcdm_adapter	1399	0.00227311	0.00227311	0.00888513	1.09682
18	gen_tiles\[0\].i_tile/i_tile/i_remote_resp_interco	960	0.00225091	0.00225091	0.0477609	1.09852
46	gen_tiles\[0\].i_tile/i_tile/gen_banks\[6\].i_tcdm_adapter	1399	0.00223818	0.00223818	0.0100377	1.09707
68	gen_tiles\[0\].i_tile/i_tile/gen_banks\[10\].i_tcdm_adapter	1399	0.00223818	0.00223818	0.0276934	1.09699
64	gen_tiles\[0\].i_tile/i_tile/gen_banks\[12\].i_tcdm_adapter	1399	0.002238	0.002238	0.025485	1.09734
70	gen_tiles\[0\].i_tile/i_tile/gen_banks\[0\].i_tcdm_adapter	1399	0.0022378	0.0022378	0.00955081	1.09699
44	gen_tiles\[0\].i_tile/i_tile/gen_banks\[7\].i_tcdm_adapter	1399	0.00220693	0.00220693	0.0239262	1.09612
66	gen_tiles\[0\].i_tile/i_tile/gen_banks\[11\].i_tcdm_adapter	1399	0.00220671	0.00220671	0.0072285	1.09656
60	gen_tiles\[0\].i_tile/i_tile/gen_banks\[14\].i_tcdm_adapter	1399	0.0022067	0.0022067	0.0203557	1.0975
62	gen_tiles\[0\].i_tile/i_tile/gen_banks\[13\].i_tcdm_adapter	1399	0.00220556	0.00220556	0.0258586	1.09784
40	gen_tiles\[0\].i_tile/i_tile/gen_banks\[9\].i_tcdm_adapter	1272	0.00216856	0.00216856	0.00855158	1.09713
58	gen_tiles\[0\].i_tile/i_tile/gen_banks\[15\].i_tcdm_adapter	1399	0.0021673	0.0021673	0.00931249	1.09684
56	gen_tiles\[0\].i_tile/i_tile/gen_banks\[1\].i_tcdm_adapter	1399	0.00215583	0.00215583	0.00950098	1.095
27	gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[1\].i_tcdm_slave_req_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[2\].i_tcdm_slave_req_register||gen_tiles\[0\].i_tile/i_tile/gen_tcdm_registers\[3\].i_tcdm_slave_req_register	618	0.00192351	0.00192351	0.00551237	1.09614
