node_a	layer_a	x_a_um	y_a_um	node_b	layer_b	x_b_um	y_b_um	g_siemens
0	metal1	14.095	14	8855	metal4	14.095	14	1e+12
1	metal1	40.07	14	8856	metal4	40.07	14	1e+12
2	metal1	96.07	14	8857	metal4	96.07	14	1e+12
3	metal1	108.455	14	8858	metal4	108.455	14	1e+12
4	metal1	109.295	14	8859	metal4	109.295	14	1e+12
5	metal1	152.07	14	8860	metal4	152.07	14	1e+12
6	metal1	208.07	14	8861	metal4	208.07	14	1e+12
7	metal1	264.07	14	8862	metal4	264.07	14	1e+12
8	metal1	320.07	14	8863	metal4	320.07	14	1e+12
9	metal1	376.07	14	8864	metal4	376.07	14	1e+12
10	metal1	432.07	14	8865	metal4	432.07	14	1e+12
11	metal1	488.07	14	8866	metal4	488.07	14	1e+12
12	metal1	544.07	14	8867	metal4	544.07	14	1e+12
13	metal1	600.07	14	8868	metal4	600.07	14	1e+12
14	metal1	656.07	14	8869	metal4	656.07	14	1e+12
15	metal1	712.07	14	8870	metal4	712.07	14	1e+12
16	metal1	768.07	14	8871	metal4	768.07	14	1e+12
17	metal1	824.07	14	8872	metal4	824.07	14	1e+12
18	metal1	880.07	14	8873	metal4	880.07	14	1e+12
19	metal1	936.07	14	8874	metal4	936.07	14	1e+12
20	metal1	992.07	14	8875	metal4	992.07	14	1e+12
21	metal1	1048.07	14	8876	metal4	1048.07	14	1e+12
22	metal1	1086.21	14	8877	metal4	1086.21	14	1e+12
23	metal1	14.095	16.8	8878	metal4	14.095	16.8	1e+12
24	metal1	40.07	16.8	8879	metal4	40.07	16.8	1e+12
25	metal1	96.07	16.8	8880	metal4	96.07	16.8	1e+12
26	metal1	108.455	16.8	8881	metal4	108.455	16.8	1e+12
27	metal1	109.295	16.8	8882	metal4	109.295	16.8	1e+12
28	metal1	152.07	16.8	8883	metal4	152.07	16.8	1e+12
29	metal1	208.07	16.8	8884	metal4	208.07	16.8	1e+12
30	metal1	264.07	16.8	8885	metal4	264.07	16.8	1e+12
31	metal1	320.07	16.8	8886	metal4	320.07	16.8	1e+12
32	metal1	376.07	16.8	8887	metal4	376.07	16.8	1e+12
33	metal1	432.07	16.8	8888	metal4	432.07	16.8	1e+12
34	metal1	488.07	16.8	8889	metal4	488.07	16.8	1e+12
35	metal1	544.07	16.8	8890	metal4	544.07	16.8	1e+12
36	metal1	600.07	16.8	8891	metal4	600.07	16.8	1e+12
