# pdn_tcl_physical: literal add_pdn_stripe rectangles (um) clipped to layout.core; add_pdn_connect has no via coordinates in Tcl.
# core_llx	core_lly	core_urx	core_ury
#	10.000000	12.000000	1090.000000	1090.000000
# die_llx	die_lly	die_urx	die_ury
#	0.000000	0.000000	1100.000000	1100.000000
kind	grid	layer_lo	layer_hi	width_um	pitch_um	offset_um	followpins	horiz	llx	lly	urx	ury
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	12.000000	1090.000000	12.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	14.315000	1090.000000	14.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	16.715000	1090.000000	16.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	19.115000	1090.000000	19.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	21.515000	1090.000000	21.685000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	23.915000	1090.000000	24.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	26.315000	1090.000000	26.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	28.715000	1090.000000	28.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	31.115000	1090.000000	31.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	33.515000	1090.000000	33.685000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	35.915000	1090.000000	36.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	38.315000	1090.000000	38.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	40.715000	1090.000000	40.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	43.115000	1090.000000	43.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	45.515000	1090.000000	45.685000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	47.915000	1090.000000	48.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	50.315000	1090.000000	50.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	52.715000	1090.000000	52.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	55.115000	1090.000000	55.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	57.515000	1090.000000	57.685000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	59.915000	1090.000000	60.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	62.315000	1090.000000	62.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	64.715000	1090.000000	64.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	67.115000	1090.000000	67.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	69.515000	1090.000000	69.685000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	71.915000	1090.000000	72.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	74.315000	1090.000000	74.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	76.715000	1090.000000	76.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	79.115000	1090.000000	79.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	81.515000	1090.000000	81.685000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	83.915000	1090.000000	84.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	86.315000	1090.000000	86.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	88.715000	1090.000000	88.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	91.115000	1090.000000	91.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	93.515000	1090.000000	93.685000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	95.915000	1090.000000	96.085000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	98.315000	1090.000000	98.485000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	100.715000	1090.000000	100.885000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	103.115000	1090.000000	103.285000
strap	Core	metal1		0.170000	2.400000	0.000000	1	1	10.000000	105.515000	1090.000000	105.685000
